t,x,y,z
0.000000000000000000e+00,3.673940397442058882e-17,-3.673940397442058882e-17,5.999999999999999778e-01
1.000000000000000021e-02,-5.978942541977231922e-05,5.978942541977227856e-05,5.995969628230506387e-01
2.000000000000000042e-02,-1.577484600064474655e-04,1.577484600064474926e-04,5.990535949225604950e-01
2.999999999999999889e-02,-2.752371998211330635e-04,2.752371998211331178e-04,5.986414906837742578e-01
4.000000000000000083e-02,-4.107159343158126247e-04,4.107159343158121368e-04,5.983592114630909009e-01
5.000000000000000278e-02,-5.608245621824051435e-04,5.608245621824050351e-04,5.981707672927423225e-01
5.999999999999999778e-02,-7.168720087757356890e-04,7.168720087757340627e-04,5.980456743835033118e-01
7.000000000000000666e-02,-8.756280909383669028e-04,8.756280909383658186e-04,5.979625833827163506e-01
8.000000000000000167e-02,-1.034800355945233140e-03,1.034800355945231839e-03,5.979072171733206265e-01
8.999999999999999667e-02,-1.193069625715402612e-03,1.193069625715399576e-03,5.978701512797299777e-01
1.000000000000000056e-01,-1.350011399819314294e-03,1.350011399819311692e-03,5.978451825765473959e-01
1.100000000000000006e-01,-1.505959360917894386e-03,1.505959360917892217e-03,5.978282232544762653e-01
1.199999999999999956e-01,-1.661839986928121283e-03,1.661839986928119548e-03,5.978165689045319420e-01
1.300000000000000044e-01,-1.818999329179443215e-03,1.818999329179441264e-03,5.978084188870536053e-01
1.400000000000000133e-01,-1.981574648447692079e-03,1.981574648447689910e-03,5.978025707161674918e-01
1.499999999999999944e-01,-2.149600639710075051e-03,2.149600639710073750e-03,5.977981931354056089e-01
1.600000000000000033e-01,-2.324486249866772845e-03,2.324486249866770677e-03,5.977947015629327954e-01
1.700000000000000122e-01,-2.507801796291665893e-03,2.507801796291664158e-03,5.977916989914036083e-01
1.799999999999999933e-01,-2.700849509905664525e-03,2.700849509905662357e-03,5.977889056389527056e-01
1.900000000000000022e-01,-2.904696604720447342e-03,2.904696604720445607e-03,5.977861196396048182e-01
2.000000000000000111e-01,-3.120164725290775279e-03,3.120164725290773978e-03,5.977831919541164440e-01
2.099999999999999922e-01,-3.347875768271804837e-03,3.347875768271803103e-03,5.977800096604396485e-01
2.200000000000000011e-01,-3.588159918187117103e-03,3.588159918187115369e-03,5.977764845283530803e-01
2.300000000000000100e-01,-3.841202346973797942e-03,3.841202346973796207e-03,5.977725456449046737e-01
2.399999999999999911e-01,-4.107027974684213621e-03,4.107027974684211019e-03,5.977681343909624356e-01
2.500000000000000000e-01,-4.385543506954986230e-03,4.385543506954983628e-03,5.977632006716178115e-01
2.600000000000000089e-01,-4.676573797540865655e-03,4.676573797540863921e-03,5.977577003270977407e-01
2.700000000000000178e-01,-4.979895011596202105e-03,4.979895011596200370e-03,5.977515932056930437e-01
2.800000000000000266e-01,-5.295263587516679110e-03,5.295263587516678243e-03,5.977448416391639707e-01
2.899999999999999800e-01,-5.622440175349318649e-03,5.622440175349316914e-03,5.977374091694668268e-01
2.999999999999999889e-01,-5.961208197814186864e-03,5.961208197814186864e-03,5.977292594455035912e-01
3.099999999999999978e-01,-6.311387089929071902e-03,6.311387089929071034e-03,5.977203552547810661e-01
3.200000000000000067e-01,-6.672840590118458634e-03,6.672840590118456032e-03,5.977106576823550954e-01
3.300000000000000155e-01,-7.045480678746942130e-03,7.045480678746936058e-03,5.977001254023807109e-01
3.400000000000000244e-01,-7.429267896134850169e-03,7.429267896134843230e-03,5.976887141101456802e-01
3.500000000000000333e-01,-7.824208832560439891e-03,7.824208832560429483e-03,5.976763760985063234e-01
3.599999999999999867e-01,-8.230351580244033710e-03,8.230351580244028506e-03,5.976630599755120565e-01
3.699999999999999956e-01,-8.647779886655210593e-03,8.647779886655205389e-03,5.976487105122105792e-01
3.800000000000000044e-01,-9.076606663163908420e-03,9.076606663163901481e-03,5.976332686029351970e-01
3.900000000000000133e-01,-9.516967396433942405e-03,9.516967396433938936e-03,5.976166713156283450e-01
4.000000000000000222e-01,-9.969013893143601271e-03,9.969013893143596067e-03,5.975988520073859389e-01
4.100000000000000311e-01,-1.043290867156631239e-02,1.043290867156630893e-02,5.975797404801663770e-01
4.199999999999999845e-01,-1.090882020298984331e-02,1.090882020298983811e-02,5.975592631532139487e-01
4.299999999999999933e-01,-1.139691910786804971e-02,1.139691910786804624e-02,5.975373432316389843e-01
4.400000000000000022e-01,-1.189737532882257677e-02,1.189737532882256983e-02,5.975139008543344232e-01
4.500000000000000111e-01,-1.241035623711830675e-02,1.241035623711829981e-02,5.974888532084992043e-01
4.600000000000000200e-01,-1.293602558104020410e-02,1.293602558104019890e-02,5.974621146021709128e-01
4.700000000000000289e-01,-1.347454315299921428e-02,1.347454315299920560e-02,5.974335964900380214e-01
4.799999999999999822e-01,-1.402606503509109398e-02,1.402606503509108010e-02,5.974032074512577450e-01
4.899999999999999911e-01,-1.459074427857802274e-02,1.459074427857800886e-02,5.973708531208782313e-01
5.000000000000000000e-01,-1.516873187804147413e-02,1.516873187804145505e-02,5.973364360787583038e-01
5.100000000000000089e-01,-1.576017791403791501e-02,1.576017791403789767e-02,5.972998557015060106e-01
5.200000000000000178e-01,-1.636523275580677866e-02,1.636523275580676479e-02,5.972610079839754116e-01
5.300000000000000266e-01,-1.698404823611467454e-02,1.698404823611466413e-02,5.972197853373306664e-01
5.400000000000000355e-01,-1.761677873182728934e-02,1.761677873182727547e-02,5.971760763706007724e-01
