wall_time,episode_reward_mean
46.3684039116,-52.2036663566
51.9295704365,-52.3712149361
57.2982633114,-16.5834576124
62.6044299603,-44.0166276774
67.9141495228,-50.4139578583
73.219455719,-39.8826990614
78.6122469902,-60.4061232999
83.8911683559,-33.8137062122
89.2373869419,-57.0869402148
94.5216081142,-18.6483083063
99.8887350559,2.12098134857
105.205463648,-35.1443217842
110.584935665,-54.4753935958
115.878305912,-54.4713872928
121.209722281,-35.4947983206
126.620019197,-53.3066162536
131.905298471,-72.0641486023
137.236384153,-71.3622028802
142.549971104,-42.2894733874
147.929121494,-42.8804486746
153.187750578,-57.5943143884
158.542067528,-21.1479546689
163.82148385,-50.0792486038
169.194116592,-48.8376483437
174.509026289,-68.0112457852
179.899912834,-45.4937119582
185.205129147,-36.3374929144
190.574257851,-61.3222347369
195.872020006,-66.0910497999
201.195796251,-50.8189796059
206.55745697,-35.8706545303
211.841282129,-34.9152441105
217.191710234,-44.7760264163
222.525186777,-49.5375759249
227.883211374,-48.0146710675
233.216670513,-54.1976417215
238.624800205,-49.2476008214
243.932648182,-35.1378992142
249.287517309,-26.2424729895
254.55950737,-61.9288627614
259.900555372,-51.4783949777
265.216308355,-47.7477419998
270.580476761,-60.153938217
275.901378632,-58.409039712
281.219368458,-40.1423190617
286.616564274,-51.121034223
291.952451468,-47.0837924742
297.311659098,-39.3014982023
302.687206984,-36.076676185
308.019206762,-63.8604574601
313.330272675,-55.790883916
318.650332689,-48.4015652826
323.954523802,-41.8319573872
329.339980841,-38.1011562345
334.63351965,-29.8540625336
339.948572159,-39.8524243689
345.240262747,-37.9452024205
350.56879282,-37.9505208989
355.879049778,-58.4905756145
361.23791194,-41.4084636972
371.867052317,-29.7568266465
377.208619118,-44.5446239591
382.496081352,-39.7081904642
387.824523449,-44.2636360777
393.089500666,-55.5006714425
398.513902426,-49.1241313981
403.798412561,-33.2212430957
409.134682655,-3.66781827554
414.43270421,-42.0768203003
419.842437744,-52.7057968916
425.156019688,-21.3205838102
430.512484074,-35.0905937325
435.826772451,-64.057627735
441.187843561,-39.5762018923
446.565145016,-59.7141406474
451.833217144,-57.9025637422
457.185752392,-50.2406342335
462.506995916,-71.4014544914
467.865143299,-55.2262167858
473.169236183,-61.8293402899
478.516050339,-39.7981850856
483.82889843,-15.112668791
489.18325448,-53.8261453807
494.500254393,-64.5862938372
499.855273962,-41.8427331254
505.178483963,-36.2732546564
510.520397425,-62.8069819159
515.835766792,-30.5822224592
521.162189245,-62.0005747718
526.52311492,-58.0891883435
531.842382193,-58.1932326498
537.234520435,-52.8391988301
542.549300194,-49.9588569616
547.927195311,-37.3337962141
553.201921701,-15.5216512848
558.610809326,-58.9183396178
563.905577183,-41.3608426059
569.26193881,-56.4865957193
574.555297613,-39.3389181246
579.971188307,-48.1174291291
585.304305553,-39.3010660714
590.648348331,-43.0462528458
595.985164165,-54.1288593383
601.387588501,-46.5727309591
606.746993542,-30.3639089611
612.084846973,-56.261972042
617.421125412,-45.5948694595
622.747913361,-38.4159700833
628.150535345,-69.1027721376
633.480265856,-57.2420581683
638.875586033,-34.4247505389
644.156373739,-12.2796046308
649.530272961,-19.7947567389
654.854402542,-59.5082175085
660.204752207,-15.6582842635
665.519154072,-46.6756115262
670.881340265,-48.2190737371
676.191411972,-53.4625835569
681.539129496,-39.9138215761
686.956080914,-51.905495847
692.84237361,-49.2684606291
698.202728271,-10.9081784254
703.510759354,-39.6336973494
708.94473815,-48.5035142021
714.263203859,-68.4827113468
719.663207769,-53.1187609295
725.033581734,-25.95170764
730.436371088,-67.64154068
735.778987169,-39.5797675918
741.139548779,-40.2436178181
746.460003853,-26.720633382
751.806390285,-38.3795835033
757.152123213,-36.4148964216
762.508161783,-47.780042323
767.851192474,-17.5128370378
773.158645391,-38.6042680772
778.512656927,-64.2733852755
783.820467234,-19.4023760203
789.181827545,-42.3960424067
794.511624813,-56.41450448
799.945208073,-26.1984559274
805.219132662,-57.1801539683
810.59847331,-47.631912281
815.922866344,-36.6002309626
821.304187775,-44.3334009439
826.67381835,-55.4250327796
831.961497545,-44.2737282342
837.287582636,-50.9396315732
842.641111851,-50.446330052
847.978137493,-63.9560780892
853.302014589,-33.4775906209
858.678970575,-44.292338637
863.968364239,-43.5677963499
869.34479022,-18.9640453437
874.648376465,-36.7482544886
879.981396198,-71.1117956654
885.298131466,-36.5618495949
890.67928648,-36.6179774359
896.039641619,-19.3497753334
901.371827126,-34.7163105049
906.693448544,-27.7229743123
911.988427639,-65.1660794294
917.38347888,-38.4846088035
922.741466045,-53.042853533
928.088648796,-52.012943468
933.378055334,-37.2948391725
938.737164021,-33.3453719111
944.024909735,-36.469800823
949.382950544,-32.0538273029
954.701149702,-44.9731051847
960.057836056,-47.938951813
965.432228804,-36.3379985124
970.809142828,-40.9630889663
976.137593031,-36.2674784892
981.528541803,-55.1027070218
986.912139893,-52.719671302
992.289644957,-37.0424752466
997.642877579,-45.0278578725
1003.00626659,-18.3572390566
1008.40395021,-46.0007063936
1013.73989677,-45.3224715093
1019.6991663,-34.7656705805
1025.04105902,-26.1476796192
1030.40589333,-26.797314318
1035.72687149,-27.5994845188
1041.12030482,-38.7977619592
1046.44352889,-45.6888829709
1051.80326676,-42.5936579198
1057.13829732,-37.6853037441
1062.45982552,-34.6540429724
1067.84439445,-23.6268814999
1073.14955235,-25.574417054
1078.49799395,-31.4099022509
1083.82841277,-27.0888016484
1089.21397185,-33.6047147427
1094.50502014,-30.6732242333
1099.90245104,-42.4588020047
1105.25655246,-26.4266354092
1110.64372826,-46.4187146913
1115.99499679,-20.4612234153
1121.29428005,-15.38784029
1126.65891933,-31.9119554589
1131.94624758,-17.447401534
1137.37894464,-19.7192301009
1142.68632317,-54.3546060821
1148.10662866,-24.4230558801
1153.46145391,-29.685145092
1158.85408044,-39.0407314781
1164.15347481,-7.18220022665
1169.55988836,-41.0671204217
1174.89957309,-28.2551212315
1180.23445272,-37.610225056
1185.54683328,-12.5464362816
1190.90226126,-44.4792797311
1196.21118355,-25.7618973817
1201.54263735,-39.9193929032
1206.93050432,-31.0771954726
1212.28189683,-42.4729577279
1217.6762259,-16.4715092126
1222.94566894,-29.9818535017
1228.34127069,-34.0465890342
1233.6245563,-20.7748017256
1239.03152704,-22.4584442059
1244.30842519,-42.2060729279
1249.72977281,-25.9809444254
1255.04358196,-26.4592449125
1260.39322424,-37.7167960852
1265.68177533,-19.7796995094
1271.09190869,-32.7898424368
1276.47711968,-25.5002378709
1281.80408859,-34.7067460018
1287.11708593,-31.6022602247
1292.41653204,-30.8564737126
1297.81641793,-38.7637099206
1303.13342476,-18.4460087837
1308.48399639,-63.4339604906
1313.76529789,-53.5723266369
1319.15145206,-38.7475671572
1324.53232002,-41.3215511744
1329.92213726,-34.5571152998
1335.26249671,-25.4207260966
1341.21111512,-23.5273112024
1346.56263614,-23.4768524183
1351.83192492,-21.4553097269
1357.15274215,-40.2161113366
1362.4581871,-47.9167837404
1367.86583877,-4.07600585846
1373.19085646,-20.6640399611
1378.6121242,-36.8776654972
1383.95326686,-43.6410164492
1389.37982011,-46.7178520142
1394.65943623,4.61762135295
1400.03498244,-36.6777294173
1405.38442397,-64.4382599826
1410.74494696,-57.5280540539
1416.04330897,-30.4177958189
1421.3860836,-24.0204515693
1426.79241729,-24.5724800083
1432.11112165,-24.519772763
1437.49850178,-14.598303918
1442.86098456,-26.4775237981
1448.19247437,-40.7489753453
1453.49773073,-8.24595387568
1458.85994649,-39.674285561
1464.21532369,-38.7640946337
1469.61624646,-15.1393265149
1474.89944768,-34.3029586948
1480.22065544,-37.1563487895
1485.53055,-23.4910880036
1490.88302922,-19.6017585672
1496.20379806,-23.4846101121
1501.54387808,-26.0000052623
1506.88399339,-47.4831365003
1512.18126678,-15.9102911235
1517.508847,-27.5568932319
1522.81984043,-31.2903733943
1528.16448832,-43.1427159573
1533.48975396,-36.0463570723
1538.9061718,-35.1549566744
1544.15980363,-40.2405681965
1549.51832247,-39.9226756534
1554.81351614,-20.1843243265
1560.22361684,-10.8261473939
1565.59626746,-14.2362410463
1570.97359514,-21.7853100912
1576.26363754,-36.6229792911
1581.61160898,-30.1640716959
1587.00631428,-38.3348514293
1592.31052566,-8.34686881819
1597.6810081,-34.3047050675
1603.03191781,-43.1541766543
1608.38580346,-29.9242688649
1613.70022941,-33.9931462708
1619.06269503,-28.5386392702
1624.35191655,-40.5309778492
1629.68760896,-29.5972289036
1634.98737288,-41.1309210376
1640.29323268,-13.7660638014
1645.61308503,-44.9924147872
1650.98906779,-18.7004750855
1656.33857155,-3.52069317838
1662.28636599,-35.6431921989
1667.6279366,-27.2991268898
1672.92681861,-26.8472471824
1678.2925446,-18.1261544502
1683.66316557,-15.9553833226
1689.02962184,-19.9745796723
1694.34916329,-30.1667343639
1699.70665646,-12.169354855
1705.01013017,-12.6432548889
