wall_time,episode_reward_mean
240.807953596,-45.185864231
385.127056122,-46.8157636723
524.033492565,-42.6105633581
662.948487282,-36.8037234106
801.830929995,-32.2287234073
940.73053503,-27.9611606801
1079.68120265,-24.8477989115
1220.44514823,-19.0639128945
1359.36563015,-12.7429916414
1498.28732204,-6.14426897049
1637.29425025,-3.40552555594
1776.32614756,1.812241262
1915.34309006,10.767489691
2054.32433581,11.6756318385
2193.59531784,20.1294825938
2332.56399655,33.392917823
2471.51753902,34.0202435433
2610.48998761,37.8604748898
2749.48072147,48.8603512144
2888.35409045,44.2887437438
3027.82585073,55.2439204141
3166.75401211,59.1248689217
3305.83469009,66.0969556794
3444.58967638,70.6148753167
3583.44302845,76.7208866456
3722.53242254,79.4106674285
3861.32480669,91.5599608342
4000.14902854,81.2327602284
4138.85093474,78.3431020688
4277.7023387,88.7325071597
4416.33391857,87.7345325127
4554.95292354,91.9592987523
4693.53685904,96.8797672729
4832.11911631,92.467407562
4970.66856933,94.4878583589
5109.28423786,100.168637698
5248.09036541,98.92591291
5387.08125901,92.316256424
5526.01000118,99.9834481802
5664.99777985,99.8482720058
5804.49398303,92.1594201115
5943.43990397,112.606060622
6082.33363271,105.895743994
6221.21847105,103.368719274
6360.20504713,113.715436493
6499.16581893,108.038381457
6637.91174793,111.334879472
6776.4518652,111.475935603
6914.92582321,108.650953056
7053.39493918,112.371926771
7191.75158811,102.539343754
7330.14496827,109.387173395
7468.71531343,109.207364058
7607.1606071,113.728279779
7745.71671271,110.082822619
7884.2414825,108.634428798
8022.70581079,115.500108399
8161.35256767,116.371736536
8299.77747774,112.595767387
8438.25598669,114.981391299
8577.27741981,117.405012257
8715.79269052,112.133616852
8854.15793824,122.489131793
8992.582904,125.068433823
8992.5829041,112.471968964
9131.03418589,112.885285864
9269.54582143,106.815832004
9407.98612118,111.052405958
9546.58295202,111.054903205
9685.11954665,110.049108308
9823.63492155,110.62469486
9962.15974593,112.761325989
10100.5934525,116.022677227
10239.0761008,113.601714825
10377.5920863,109.163481068
10516.1465082,110.614030273
