time,sx_x,sx_y,sx_z,mat_x,mat_y,mat_z,vicon_x,vicon_y,vicon_z
0.000000000000000000e+00,4.300000000000000488e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.299999999999999933e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.384862513642586723e-01,1.779092517766221737e-02,-8.442486199664145374e-02
9.999999999999786837e-03,4.311851901302350409e-01,-4.496730277871504992e-04,-3.416621908194823493e-03,4.311853029467417331e-01,-4.474819857258640590e-04,-3.408344035702857554e-03,4.384849117097401328e-01,1.787043668736976176e-02,-8.445829680387137439e-02
2.000000000000135003e-02,4.321873561694410393e-01,-8.229316423960525298e-04,-1.033545063320448834e-02,4.321882448169975799e-01,-8.196299101587373268e-04,-1.031055761878391097e-02,4.384974692829485265e-01,1.784127168106300343e-02,-8.445262579320186869e-02
3.000000000000113687e-02,4.328298187872616221e-01,-1.124169112590663521e-03,-1.961756836318320416e-02,4.328315389952414050e-01,-1.119854185673942355e-03,-1.959140812337618887e-02,4.385229899384388563e-01,1.776762652733290815e-02,-8.443789572725249326e-02
4.000000000000092371e-02,4.329853590563398358e-01,-1.375596561806428182e-03,-3.047929200847026079e-02,4.329873150554403027e-01,-1.370414100118937150e-03,-3.046003923071661720e-02,4.385108922987308588e-01,1.775502935607341237e-02,-8.442711153230886278e-02
5.000000000000071054e-02,4.325721735861441375e-01,-1.593718130960194990e-03,-4.234497314860082712e-02,4.325743916714632209e-01,-1.587998930584682633e-03,-4.232922115839123089e-02,4.390960394986187509e-01,1.771003978921112387e-02,-8.458955870330930882e-02
6.000000000000049738e-02,4.315511694845433066e-01,-1.790934832414493557e-03,-5.478988947119411285e-02,4.315532598848138002e-01,-1.784822407929038133e-03,-5.477850885250258595e-02,4.410323510522585755e-01,1.808424234606752223e-02,-8.512607590822404702e-02
7.000000000000028422e-02,4.299171066433242205e-01,-1.976642965662969535e-03,-6.750029011552324820e-02,4.299188699309463568e-01,-1.970245005591367456e-03,-6.749263014805217953e-02,4.427886796352221710e-01,1.846382716569322513e-02,-8.573274338081332546e-02
8.000000000000007105e-02,4.276890689494374231e-01,-2.157999588173602559e-03,-8.024489598730763507e-02,4.276909636735238829e-01,-2.151496144656254994e-03,-8.023800308996763275e-02,4.448071709728629308e-01,1.886165493152239248e-02,-8.723668793203831484e-02
8.999999999999985789e-02,4.249022625988960744e-01,-2.340466501492680530e-03,-9.285421235844103227e-02,4.249039488016821964e-01,-2.333974319551363179e-03,-9.284899924782633041e-02,4.461485276088832386e-01,1.941163618577668171e-02,-8.887406071895012638e-02
1.000000000000014211e-01,4.216016286386672918e-01,-2.528203732724830163e-03,-1.052052981029500123e-01,4.216026482896516048e-01,-2.521781768498385437e-03,-1.052026925343262503e-01,4.472572624003676722e-01,2.042056845439411961e-02,-9.106265877806929421e-02
1.100000000000012079e-01,4.178371568397735714e-01,-2.724359153156043819e-03,-1.172104291777387730e-01,4.178377678879892643e-01,-2.718077486938839677e-03,-1.172091831634586162e-01,4.483129155811456101e-01,2.167012575351945358e-02,-9.352191605043480571e-02
1.200000000000009948e-01,4.136605955339814900e-01,-2.931285235625137944e-03,-1.288085904194612163e-01,4.136612053089502306e-01,-2.925189245945288355e-03,-1.288074788590693187e-01,4.492163808163119887e-01,2.248759488326969314e-02,-9.636339234369351026e-02
1.300000000000007816e-01,4.091232311108449204e-01,-3.150703566913445799e-03,-1.399590492662708130e-01,4.091240295177431818e-01,-3.144808126659193355e-03,-1.399576446561312526e-01,4.504241804469145682e-01,2.371984926825244921e-02,-9.931317139163711727e-02
1.400000000000005684e-01,4.042744534403315271e-01,-3.383831462303576836e-03,-1.506364772286078180e-01,4.042748118979559435e-01,-3.378103458834044032e-03,-1.506360351311611390e-01,4.518057157996453466e-01,2.455039530446513629e-02,-1.021047984709610446e-01
1.500000000000003553e-01,3.991608820412225200e-01,-3.631481074516427522e-03,-1.608272304246466666e-01,3.991608678088684470e-01,-3.625925598064226943e-03,-1.608274750567484090e-01,4.525559976871212919e-01,2.534005807087223727e-02,-1.045667696066730490e-01
1.600000000000001421e-01,3.938258828156195324e-01,-3.894137384933902234e-03,-1.705265034326917117e-01,3.938247239440446079e-01,-3.888717226992326279e-03,-1.705285905589392637e-01,4.530979063811723107e-01,2.623652999708128708e-02,-1.071530222426593792e-01
1.699999999999999289e-01,3.883093512097795519e-01,-4.172020944960878885e-03,-1.797361438616901785e-01,3.883083595069173888e-01,-4.166802699211680575e-03,-1.797378195934645206e-01,4.535471592302693367e-01,2.802582880245423069e-02,-1.117697436804978295e-01
1.800000000000014921e-01,3.826476727159949243e-01,-4.465138283845909890e-03,-1.884629693287649677e-01,3.826472655255256372e-01,-4.460150761777729837e-03,-1.884636933376343804e-01,4.537953897212911869e-01,2.979200023785424922e-02,-1.161240567800242984e-01
1.900000000000012790e-01,3.768737983364650601e-01,-4.773323337814361876e-03,-1.967174676170065084e-01,3.768736499857002209e-01,-4.768539957765585181e-03,-1.967177902632554765e-01,4.540656388753491202e-01,3.095203797794712774e-02,-1.200286258557853314e-01
2.000000000000010658e-01,3.710173914564241504e-01,-5.096271327375197571e-03,-2.045127905655426681e-01,3.710178436525062295e-01,-5.091706574741052156e-03,-2.045123313431694845e-01,4.544205144450582656e-01,3.237809881809816659e-02,-1.241479109826448823e-01
2.100000000000008527e-01,3.651050164617979377e-01,-5.433566917401089040e-03,-2.118639738167777398e-01,3.651058781350371429e-01,-5.429194006467971158e-03,-2.118630455177537841e-01,4.548464717739340024e-01,3.417780035762513213e-02,-1.305022495572551455e-01
2.200000000000006395e-01,3.591603489288704987e-01,-5.784707669368225821e-03,-2.187873310651050895e-01,3.591609231516769141e-01,-5.780426301875737916e-03,-2.187867661540794095e-01,4.549920433464498259e-01,3.542774947850835243e-02,-1.351213347126621334e-01
2.300000000000004263e-01,3.532043939678379263e-01,-6.149123713169217520e-03,-2.252999836631117969e-01,3.532050256230119811e-01,-6.144967310329395305e-03,-2.252993777929532260e-01,4.549858000410368364e-01,3.711760121142132496e-02,-1.408079703536831429e-01
2.400000000000002132e-01,3.472557038675211372e-01,-6.526194152264271423e-03,-2.314194957273225384e-01,3.472563549771096603e-01,-6.522125493629456899e-03,-2.314188957237926225e-01,4.545857722685413549e-01,3.940535031483259620e-02,-1.482183156728369700e-01
2.500000000000000000e-01,3.413305894433618093e-01,-6.915260793024558678e-03,-2.371635917698621532e-01,3.413314007221330826e-01,-6.911295166956056210e-03,-2.371628637578462873e-01,4.543060787703577796e-01,4.075577193050031882e-02,-1.527832243915583643e-01
2.599999999999997868e-01,3.354433217722871952e-01,-7.315639956974422098e-03,-2.425499390759543183e-01,3.354446343564045363e-01,-7.311821447381181178e-03,-2.425487850695720038e-01,4.538656136823913112e-01,4.254715821192340403e-02,-1.590385149782283514e-01
2.700000000000013500e-01,3.296063221178346936e-01,-7.726632046127723807e-03,-2.475959812884194200e-01,3.296080866264629594e-01,-7.722932141180433724e-03,-2.475944900443942942e-01,4.532040331559229474e-01,4.455101759810728423e-02,-1.648464691273185678e-01
2.800000000000011369e-01,3.238303392827764360e-01,-8.147529739396180276e-03,-2.523188123605306088e-01,3.238326091494217462e-01,-8.144025173270282719e-03,-2.523169604208943539e-01,4.523655625256166601e-01,4.599003900756084423e-02,-1.710820863647744550e-01
2.900000000000009237e-01,3.181246140044183823e-01,-8.577624828012471794e-03,-2.567350825749239451e-01,3.181274741357198454e-01,-8.574261701998082616e-03,-2.567328483636420744e-01,4.513874974567688714e-01,4.768322140083270516e-02,-1.768955609232451542e-01
3.000000000000007105e-01,3.124970304850848701e-01,-9.016213807335938038e-03,-2.608609300582822033e-01,3.125001461939770353e-01,-9.013052852160351527e-03,-2.608585838037688620e-01,4.498928104102948300e-01,5.011717928855333876e-02,-1.842903628760717283e-01
3.100000000000004974e-01,3.069542555462606570e-01,-9.462602622647892092e-03,-2.647119325291312220e-01,3.069578418593557623e-01,-9.459606381331774061e-03,-2.647093424014601570e-01,4.481897619247202647e-01,5.226444026753390704e-02,-1.914576246986032515e-01
3.200000000000002842e-01,3.015018658316921396e-01,-9.916110330202636616e-03,-2.683030752116799533e-01,3.015056381845940825e-01,-9.913302393299558424e-03,-2.683004501807670916e-01,4.469303084354768751e-01,5.310293227479943173e-02,-1.960217246214048248e-01
3.300000000000000711e-01,2.961444639196543216e-01,-1.037607228835680205e-02,-2.716487315000202241e-01,2.961499113001004324e-01,-1.037332290635959407e-02,-2.716451558862512661e-01,4.453801642954591244e-01,5.420854596407937570e-02,-2.013754877737952420e-01
3.399999999999998579e-01,2.908857838860003375e-01,-1.084184252633398245e-02,-2.747626538048797418e-01,2.908943421546163477e-01,-1.083902663353194379e-02,-2.747573700439615574e-01,4.434898821070404340e-01,5.577445997691198032e-02,-2.074075591276906549e-01
3.500000000000014211e-01,2.857287871715806227e-01,-1.131279568528932924e-02,-2.776579723788857867e-01,2.857404038000602164e-01,-1.130992430243733804e-02,-2.776511692626956740e-01,4.422575967721431578e-01,5.698165077794834638e-02,-2.110772290398715278e-01
3.600000000000012079e-01,2.806757494184033419e-01,-1.178832844606076367e-02,-2.803472004191824851e-01,2.806895614253394622e-01,-1.178548576213865953e-02,-2.803394861975029295e-01,4.406343548516985509e-01,5.863797684300411928e-02,-2.155314065056587181e-01
3.700000000000009948e-01,2.757283390203554840e-01,-1.226786060515321769e-02,-2.828422440270553784e-01,2.757424407781371434e-01,-1.226522323944671984e-02,-2.828346886144388894e-01,4.352070475999104682e-01,6.153709464662917433e-02,-2.290570270847248069e-01
3.800000000000007816e-01,2.708876880245408847e-01,-1.275083575369678757e-02,-2.851544159022885161e-01,2.709053488804812337e-01,-1.274814860859939045e-02,-2.851454071295315695e-01,4.327403790662900374e-01,6.231415538443194069e-02,-2.346843001398327133e-01
3.900000000000005684e-01,2.661544560718375751e-01,-1.323672172186330168e-02,-2.872944518292978588e-01,2.661767209318120497e-01,-1.323390204844290298e-02,-2.872836407594023256e-01,4.263087024707924444e-01,6.494759603584929208e-02,-2.474411168724000298e-01
4.000000000000003553e-01,2.615288879719653847e-01,-1.372501080870516289e-02,-2.892725292095109091e-01,2.615548807915676899e-01,-1.372212483473047445e-02,-2.892604864694213185e-01,4.233030143331575346e-01,6.613145563245641234e-02,-2.529709547864137376e-01
4.100000000000001421e-01,2.570108654524010938e-01,-1.421521977489928479e-02,-2.910982870393416522e-01,2.570386604311874490e-01,-1.421240735309907757e-02,-2.910859703574599222e-01,4.194681353527032197e-01,6.758801035210157404e-02,-2.597970517353186404e-01
4.199999999999999289e-01,2.525999535707131871e-01,-1.470688954983995558e-02,-2.927808468487148041e-01,2.526263748884463034e-01,-1.470437845546873103e-02,-2.927696073906473906e-01,4.129029316700290053e-01,6.981231576357441182e-02,-2.706682461730116063e-01
4.300000000000014921e-01,2.482954424590690656e-01,-1.519958511505930740e-02,-2.943288341500409078e-01,2.483257342316086413e-01,-1.519699704632214432e-02,-2.943165388577206887e-01,4.085331710213644385e-01,7.109123100054350053e-02,-2.774361659906902644e-01
4.400000000000012790e-01,2.440963845552256706e-01,-1.569289489360010947e-02,-2.957504001642832780e-01,2.441302629102361788e-01,-1.569022089496651881e-02,-2.957372764341406612e-01,4.046173942498265674e-01,7.201343352150262056e-02,-2.831726843169511953e-01
4.500000000000010658e-01,2.400016280096387566e-01,-1.618643032552182989e-02,-2.970532434891020035e-01,2.400378496084162316e-01,-1.618371075763310601e-02,-2.970398433608723021e-01,4.002205618779172136e-01,7.338131842144388073e-02,-2.894061385369803840e-01
4.600000000000008527e-01,2.360098464787889483e-01,-1.667982525255589168e-02,-2.982446315561454453e-01,2.360462224144549703e-01,-1.667714662534571651e-02,-2.982317656121769578e-01,3.965506449987206139e-01,7.422199825097432202e-02,-2.945067702186512926e-01
4.700000000000006395e-01,2.321195657134994539e-01,-1.717273527879801046e-02,-2.993314217024151125e-01,2.321530009304890452e-01,-1.717022717650856789e-02,-2.993200910334834486e-01,3.924665473821882244e-01,7.484193342070305510e-02,-2.999110587376621617e-01
4.800000000000004263e-01,2.283291872018201052e-01,-1.766483699273147662e-02,-3.003200817469626749e-01,2.283607332892366448e-01,-1.766236634185528939e-02,-3.003098569647863481e-01,3.888387400132827798e-01,7.517529902685803067e-02,-3.047279860913534866e-01
4.900000000000002132e-01,2.246319008316450538e-01,-1.817461455311021601e-02,-3.011994361603799741e-01,2.246624667640356177e-01,-1.817209740633674020e-02,-3.011900246410528226e-01,3.854978860611045777e-01,7.536412434421459194e-02,-3.092114478446571502e-01
5.000000000000000000e-01,2.210129422840536040e-01,-1.888324457970162740e-02,-3.018330829989904207e-01,2.210429453359503138e-01,-1.888058189463526909e-02,-3.018246835415461793e-01,3.824909223906456379e-01,7.578027628168326757e-02,-3.128313349511434582e-01
5.099999999999997868e-01,2.185684518938070531e-01,-1.952083170048510979e-02,-3.029211059037112408e-01,2.185979848666055880e-01,-1.951808438044936450e-02,-3.029133844464937386e-01,3.794161635236308339e-01,7.563143897525673176e-02,-3.167158376086109950e-01
5.200000000000013500e-01,2.181176785373008242e-01,-1.970649828939373405e-02,-3.045814973347306109e-01,2.181469063864392433e-01,-1.970370400098493679e-02,-3.045740746546348743e-01,3.772469523220458587e-01,7.548610750141643289e-02,-3.192386732335606991e-01
5.300000000000011369e-01,2.196040632160292938e-01,-1.960873770134812996e-02,-3.063133957623427328e-01,2.196330515627537561e-01,-1.960594335258921891e-02,-3.063059825109101242e-01,3.748671638814261575e-01,7.531755115213731311e-02,-3.222841777180265876e-01
5.400000000000009237e-01,2.230309687866919299e-01,-1.927760656549722812e-02,-3.079215499935822331e-01,2.230598780771927137e-01,-1.927486965693067655e-02,-3.079138817441624543e-01,3.732704148226904106e-01,7.514641782071720955e-02,-3.246178039748709998e-01
5.500000000000007105e-01,2.283180704164127217e-01,-1.874496260968927866e-02,-3.092439424553197203e-01,2.283469677487311722e-01,-1.874230935165498158e-02,-3.092358005779771157e-01,3.722489128510869660e-01,7.498873477167475321e-02,-3.262707688840759679e-01
5.600000000000004974e-01,2.353274492481208513e-01,-1.804025482959553672e-02,-3.101240551671529677e-01,2.353562072260279581e-01,-1.803765023253154492e-02,-3.101153004202175656e-01,3.715222712218911871e-01,7.434274242231134200e-02,-3.292107208878035651e-01
5.700000000000002842e-01,2.439002511442907029e-01,-1.719285448981841893e-02,-3.104081404166054714e-01,2.439293086374530739e-01,-1.719028104571617560e-02,-3.103984214389398644e-01,3.716347826393519016e-01,7.398516623364910505e-02,-3.300664376577762127e-01
5.800000000000000711e-01,2.538907879165435144e-01,-1.623356333093961545e-02,-3.099400554219645665e-01,2.539193737106556492e-01,-1.623101305254866233e-02,-3.099294645133580106e-01,3.731570936716031017e-01,7.298107302242917704e-02,-3.318793684710842906e-01
5.899999999999998579e-01,2.651870942954038246e-01,-1.519616530315809691e-02,-3.085508586137824527e-01,2.652159365651655665e-01,-1.519360403011924335e-02,-3.085390180378584923e-01,3.755028541550683441e-01,7.255512398319075018e-02,-3.318241353004662275e-01
6.000000000000014211e-01,2.776977427692418621e-01,-1.411811714350361645e-02,-3.060532099607612411e-01,2.777247902835427995e-01,-1.411549812302348612e-02,-3.060407670020892645e-01,3.786108158542463853e-01,7.210854680572342801e-02,-3.309431780908051457e-01
6.100000000000012079e-01,2.912995631751347791e-01,-1.303809922483681327e-02,-3.022585792848007102e-01,2.913245780194625989e-01,-1.303548566591210267e-02,-3.022456889831962590e-01,3.830762280124458963e-01,7.066972476643160195e-02,-3.293977273799910677e-01
6.200000000000009948e-01,3.057818682983546310e-01,-1.198973503929654655e-02,-2.970202575665445988e-01,3.058043456496390977e-01,-1.198706488071878823e-02,-2.970073080280530853e-01,3.881487425408498559e-01,6.942488610953448380e-02,-3.267158511984421532e-01
6.300000000000007816e-01,3.208382556358937432e-01,-1.099532921397055468e-02,-2.902751357640024343e-01,3.208592517343045736e-01,-1.099265351769114669e-02,-2.902615549999953415e-01,3.934451389313303737e-01,6.822803099265381532e-02,-3.235289946787825999e-01
6.400000000000005684e-01,3.361119706260583540e-01,-1.006439255455887638e-02,-2.820546093360610795e-01,3.361326913734763444e-01,-1.006170159249812276e-02,-2.820395228167132951e-01,4.010327931213706343e-01,6.622779876582020331e-02,-3.181896613499308191e-01
6.500000000000003553e-01,3.512552115727769486e-01,-9.196903540945843003e-03,-2.724651300446771507e-01,3.512772196337262676e-01,-9.194307208898794617e-03,-2.724469045086971852e-01,4.070948452319435029e-01,6.451909995610678739e-02,-3.136458989514722129e-01
6.600000000000001421e-01,3.659691586576881428e-01,-8.387842057970103932e-03,-2.616585146929140682e-01,3.659924343055098173e-01,-8.385397311501551279e-03,-2.616366375646493880e-01,4.116777396076506390e-01,6.302204595200065762e-02,-3.095656703182574354e-01
6.699999999999999289e-01,3.800192160694197963e-01,-7.630561544576366755e-03,-2.498068398691273562e-01,3.800432533461152174e-01,-7.628325113613240380e-03,-2.497813149405570810e-01,4.169977524579485673e-01,6.148487182743958557e-02,-3.043474890895616625e-01
6.800000000000014921e-01,3.932339789842955735e-01,-6.918595191393085014e-03,-2.370858159958045552e-01,3.932574057623301478e-01,-6.916574190772526234e-03,-2.370577860238749224e-01,4.226259565389517414e-01,5.978125822330084688e-02,-2.982962123058098269e-01
6.900000000000012790e-01,4.054968725371664307e-01,-6.246371948853158933e-03,-2.236651780636531861e-01,4.055192524375070273e-01,-6.244567981916087848e-03,-2.236350224835393918e-01,4.251067458989228331e-01,5.901334485812479574e-02,-2.953498899714427361e-01
7.000000000000010658e-01,4.167359014215426538e-01,-5.609356596287912514e-03,-2.097036889295890993e-01,4.167565920722520190e-01,-5.607746609782447017e-03,-2.096722444898414250e-01,4.276499580921119259e-01,5.845720686033362146e-02,-2.922608157324850797e-01
7.100000000000008527e-01,4.269140242669399177e-01,-5.003942258347350396e-03,-1.953468841732450278e-01,4.269340464615001829e-01,-5.002582710513381846e-03,-1.953126162319477055e-01,4.428205758219010413e-01,5.261584891382115048e-02,-2.707595003588189608e-01
7.200000000000006395e-01,4.360210176293827233e-01,-4.427265878692564563e-03,-1.807263582973177851e-01,4.360398146316074586e-01,-4.426235739916386559e-03,-1.806899776817232628e-01,4.483442974784147550e-01,4.978640132973476129e-02,-2.614058311264766399e-01
7.300000000000004263e-01,4.440669305118120636e-01,-3.877023298410629815e-03,-1.659598804964111107e-01,4.440836626141052013e-01,-3.876571234455704514e-03,-1.659229177075597361e-01,4.571599938754559167e-01,4.593178558037553511e-02,-2.427266636141947043e-01
7.400000000000002132e-01,4.510769382589605581e-01,-3.351312804253302365e-03,-1.511519360975502879e-01,4.510913399493557963e-01,-3.351653870323065363e-03,-1.511152373104394098e-01,4.634204045186444132e-01,4.268661710246057089e-02,-2.271577738394238155e-01
7.500000000000000000e-01,4.570873325691166000e-01,-2.848513808573263466e-03,-1.363944698642400588e-01,4.570993774940905752e-01,-2.849677083227152713e-03,-1.363585828115954357e-01,4.687090790856293099e-01,3.966580448515367313e-02,-2.120054990939062578e-01
7.599999999999997868e-01,4.621423989683065559e-01,-2.367198294492011551e-03,-1.217677124135586597e-01,4.621520935526458596e-01,-2.369048836748420886e-03,-1.217331893546484967e-01,4.727640062973620383e-01,3.727779357597670734e-02,-1.984227560015980329e-01
7.700000000000013500e-01,4.662919767430652174e-01,-1.906069020428233793e-03,-1.073410276826402276e-01,4.662996570993839240e-01,-1.908337698160195205e-03,-1.073075528895888614e-01,4.756259776180912224e-01,3.499763178141725162e-02,-1.869457313552179700e-01
7.800000000000011369e-01,4.695895417586439802e-01,-1.463918838050014184e-03,-9.317375194263335936e-02,4.695954374776144524e-01,-1.466368339698834612e-03,-9.314115173290175853e-02,4.785325629935859304e-01,3.252497408038751425e-02,-1.743595371436608144e-01
7.900000000000009237e-01,4.720906923243753384e-01,-1.039605274408125215e-03,-7.931600997717468127e-02,4.720950411558176851e-01,-1.042037191255890463e-03,-7.928399448227820001e-02,4.809898181015367369e-01,3.036225544789677988e-02,-1.612648603864342001e-01
8.000000000000007105e-01,4.738519490518329769e-01,-6.320361710833001870e-04,-6.580950269533690500e-02,4.738547405601298834e-01,-6.343917128530430789e-04,-6.577857729508709839e-02,4.827370472181711225e-01,2.843851853706445831e-02,-1.496407276251400520e-01
8.100000000000004974e-01,4.749298029191434956e-01,-2.401626782909225698e-04,-5.268826360286760213e-02,4.749311727641709613e-01,-2.424418191728738804e-04,-5.265844163301706266e-02,4.844766713815582548e-01,2.625218122730918480e-02,-1.357639715730782903e-01
8.200000000000002842e-01,4.753799625787289984e-01,1.370228910541826861e-04,-3.997938296093901667e-02,4.753800672780589265e-01,1.348269789691649016e-04,-3.995056404168111086e-02,4.860342024321742116e-01,2.405379380834106462e-02,-1.187638096743695304e-01
8.300000000000000711e-01,4.752567640033534269e-01,5.004862728821865385e-04,-2.770369868874219751e-02,4.752556923190180971e-01,4.983059270131609975e-04,-2.767596346265526960e-02,4.869254951011360300e-01,2.161934798020342940e-02,-9.858529921296579901e-02
8.399999999999998579e-01,4.746127140941511779e-01,8.511491655519444867e-04,-1.587645299333688420e-02,4.746105831372632866e-01,8.489846035256094813e-04,-1.584971008797612935e-02,4.868137182836970167e-01,1.913148881937709600e-02,-8.178165961057351496e-02
8.500000000000014211e-01,4.734981459042052476e-01,1.189886453468149341e-03,-4.507913649505691095e-03,4.734951801300020247e-01,1.187894619536063179e-03,-4.481904151313557266e-03,4.862948967537668032e-01,1.684153539310453973e-02,-7.004619126058148071e-02
8.600000000000012079e-01,4.719609674340088379e-01,1.517523428154352039e-03,6.396041196798677927e-03,4.719572359949038010e-01,1.515698194644068009e-03,6.421255690205439522e-03,4.852500072507895945e-01,1.402612856526518070e-02,-5.513088948698929848e-02
8.700000000000009948e-01,4.700464890555232644e-01,1.834833697311752084e-03,1.683337567946665767e-02,4.700420012115913426e-01,1.833094405734006678e-03,1.685757425532662113e-02,4.837901062856438950e-01,1.206673215305770208e-02,-4.128872880128342526e-02
