t,x,z
0.000000000000000000e+00,3.673940397442059498e-17,5.999999999999999778e-01
1.000000000000000021e-03,-6.639663346468995320e-06,5.999999999903091741e-01
2.000000000000000042e-03,-2.295783058566963302e-05,5.999999999459422195e-01
3.000000000000000062e-03,-4.752373418593785370e-05,5.999999999460781108e-01
4.000000000000000083e-03,-7.980713365832678723e-05,6.000000000713402448e-01
5.000000000000000104e-03,-1.241244337878504543e-04,6.000002765235452618e-01
6.000000000000000125e-03,-1.848115249116857623e-04,6.000007115329023533e-01
7.000000000000000146e-03,-2.581341642318373637e-04,6.000010902733061702e-01
8.000000000000000167e-03,-3.423443330005514641e-04,6.000014167511855678e-01
9.000000000000001055e-03,-4.366363674483210227e-04,6.000016959154540475e-01
1.000000000000000021e-02,-5.407528961244439936e-04,6.000019327421685089e-01
1.099999999999999936e-02,-6.547515889276705938e-04,6.000021314844932174e-01
1.200000000000000025e-02,-7.788674448218934395e-04,6.000022951503546365e-01
1.300000000000000114e-02,-9.134315106947144122e-04,6.000024251876994175e-01
1.400000000000000029e-02,-1.058822938901075438e-03,6.000025213363966436e-01
1.499999999999999944e-02,-1.215440748403724550e-03,6.000025816034599835e-01
1.600000000000000033e-02,-1.383687236644208333e-03,6.000026023208582249e-01
1.700000000000000122e-02,-1.563958286517149257e-03,6.000025782502698135e-01
1.800000000000000211e-02,-1.756637758867348213e-03,6.000025027058760729e-01
1.899999999999999953e-02,-1.962094310651213685e-03,6.000023676718656551e-01
2.000000000000000042e-02,-2.180679657081984347e-03,6.000021638987580452e-01
2.100000000000000130e-02,-2.412727697269407504e-03,6.000018809680416343e-01
2.199999999999999872e-02,-2.658554159191205829e-03,6.000015073202196181e-01
2.299999999999999961e-02,-2.918456559817732797e-03,6.000010302455260902e-01
2.400000000000000050e-02,-3.192714358864215396e-03,6.000004358400239379e-01
2.500000000000000139e-02,-3.481589233083603845e-03,5.999997089319697441e-01
2.600000000000000228e-02,-3.785325427399013724e-03,5.999988329848122692e-01
2.699999999999999969e-02,-4.104150155798846032e-03,5.999977899837265483e-01
2.800000000000000058e-02,-4.438274035410663849e-03,5.999965603126327096e-01
2.900000000000000147e-02,-4.787891542951274067e-03,5.999951226280222372e-01
2.999999999999999889e-02,-5.153181486575297149e-03,5.999934537352660247e-01
3.099999999999999978e-02,-5.534307488148933196e-03,5.999915284719001818e-01
3.200000000000000067e-02,-5.931418472498280886e-03,5.999893196013770247e-01
3.300000000000000155e-02,-6.344649160834990240e-03,5.999867977198307667e-01
3.400000000000000244e-02,-6.774120566259260630e-03,5.999839311772754424e-01
3.500000000000000333e-02,-7.219940489518523151e-03,5.999806860139762499e-01
3.600000000000000422e-02,-7.682204013481559388e-03,5.999770259119570071e-01
3.699999999999999817e-02,-8.160993994975827490e-03,5.999729121612207283e-01
3.799999999999999906e-02,-8.656381552800816725e-03,5.999683036397536195e-01
3.899999999999999994e-02,-9.168426550815515080e-03,5.999631568062819831e-01
4.000000000000000083e-02,-9.697178075191346946e-03,5.999574257045254821e-01
4.100000000000000172e-02,-1.024267490488579152e-02,5.999510619777599363e-01
4.200000000000000261e-02,-1.080494597463618062e-02,5.999440148924862770e-01
4.300000000000000350e-02,-1.138401082968621206e-02,5.999362313700657978e-01
4.399999999999999745e-02,-1.197988007171770473e-02,5.999276560253388180e-01
4.499999999999999833e-02,-1.259255579534246730e-02,5.999182312113378046e-01
4.599999999999999922e-02,-1.322203201473037999e-02,5.999078970692861557e-01
4.700000000000000011e-02,-1.386829507992416374e-02,5.998965915832481510e-01
4.800000000000000100e-02,-1.453132408247470586e-02,5.998842506388220031e-01
