t,x,y,z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000021e-03,-5.458535868627581541e-06,-5.458535868627570529e-06,5.999999999903731229e-01
2.000000000000000042e-03,-2.053646569742677606e-05,-2.053646569742672185e-05,5.999999999486325120e-01
3.000000000000000062e-03,-4.391724364908341886e-05,-4.391724364908340531e-05,5.999999999591199007e-01
4.000000000000000083e-03,-7.506065551731033064e-05,-7.506065551731031708e-05,6.000000000739935668e-01
5.000000000000000104e-03,-1.449646082126937810e-04,-1.449646082126942147e-04,5.999999792044617974e-01
6.000000000000000125e-03,-2.385855043045546930e-04,-2.385855043045555604e-04,5.999999445466304149e-01
7.000000000000000146e-03,-3.376457611886425777e-04,-3.376457611886439329e-04,5.999999065488630379e-01
8.000000000000000167e-03,-4.445573664582474203e-04,-4.445573664582495345e-04,5.999998608089134322e-01
9.000000000000001055e-03,-5.609332748932013054e-04,-5.609332748932036906e-04,5.999998018948917711e-01
1.000000000000000021e-02,-6.879046906031877334e-04,-6.879046906031906607e-04,5.999997235457147360e-01
1.099999999999999936e-02,-8.263092496666761197e-04,-8.263092496666800228e-04,5.999996186451819202e-01
1.200000000000000025e-02,-9.768022703183698238e-04,-9.768022703183728596e-04,5.999994791315250708e-01
1.300000000000000114e-02,-1.139922593503662259e-03,-1.139922593503665945e-03,5.999992958699768009e-01
1.400000000000000029e-02,-1.316131624285555007e-03,-1.316131624285559994e-03,5.999990584861316645e-01
1.499999999999999944e-02,-1.505836560882182259e-03,-1.505836560882186162e-03,5.999987551575509670e-01
1.600000000000000033e-02,-1.709404297078135184e-03,-1.709404297078141689e-03,5.999983723664034097e-01
1.700000000000000122e-02,-1.927169826054719046e-03,-1.927169826054726202e-03,5.999978946204018726e-01
1.800000000000000211e-02,-2.159441404746865155e-03,-2.159441404746871226e-03,5.999973041517596695e-01
1.899999999999999953e-02,-2.406503811424389426e-03,-2.406503811424398533e-03,5.999965806046173578e-01
2.000000000000000042e-02,-2.668620482351707641e-03,-2.668620482351718483e-03,5.999957007209602011e-01
2.100000000000000130e-02,-2.946034990516498836e-03,-2.946034990516512714e-03,5.999946380338940788e-01
2.199999999999999872e-02,-3.238972138861533935e-03,-3.238972138861548247e-03,5.999933625756526112e-01
2.299999999999999961e-02,-3.547638828022552961e-03,-3.547638828022569440e-03,5.999918406060782416e-01
2.400000000000000050e-02,-3.872224792239533156e-03,-3.872224792239550070e-03,5.999900343657501578e-01
2.500000000000000139e-02,-4.212903257980358911e-03,-4.212903257980373656e-03,5.999879018564850952e-01
2.600000000000000228e-02,-4.569831556809046680e-03,-4.569831556809070966e-03,5.999853966507018299e-01
2.699999999999999969e-02,-4.943151710486089027e-03,-4.943151710486122855e-03,5.999824677301163200e-01
2.800000000000000058e-02,-5.332990998313509243e-03,-5.332990998313543937e-03,5.999790593534362060e-01
2.900000000000000147e-02,-5.739462512130951224e-03,-5.739462512130991990e-03,5.999751109521400672e-01
2.999999999999999889e-02,-6.162665701670318533e-03,-6.162665701670364503e-03,5.999705570530159404e-01
3.099999999999999978e-02,-6.602686911416518617e-03,-6.602686911416553311e-03,5.999653272258895775e-01
3.200000000000000067e-02,-7.059599909269987164e-03,-7.059599909270024461e-03,5.999593460548455770e-01
3.300000000000000155e-02,-7.533466406829835392e-03,-7.533466406829872689e-03,5.999525331312069998e-01
3.400000000000000244e-02,-8.024336570872743143e-03,-8.024336570872779573e-03,5.999448030665783804e-01
3.500000000000000333e-02,-8.532249525505582188e-03,-8.532249525505616883e-03,5.999360655243144436e-01
3.600000000000000422e-02,-9.057233844431975336e-03,-9.057233844432008296e-03,5.999262252678849716e-01
3.699999999999999817e-02,-9.599308032802539303e-03,-9.599308032802580937e-03,5.999151822246908683e-01
3.799999999999999906e-02,-1.015848099814353409e-02,-1.015848099814358266e-02,5.999028315639894915e-01
3.899999999999999994e-02,-1.073475250992603561e-02,-1.073475250992607898e-02,5.998890637876657106e-01
4.000000000000000083e-02,-1.132811364738680292e-02,-1.132811364738685322e-02,5.998737648326614158e-01
4.100000000000000172e-02,-1.193854723526991540e-02,-1.193854723526995704e-02,5.998568161839298307e-01
4.200000000000000261e-02,-1.256602826722821691e-02,-1.256602826722826374e-02,5.998380949968231679e-01
4.300000000000000350e-02,-1.321052431665711152e-02,-1.321052431665716009e-02,5.998174742278608029e-01
4.399999999999999745e-02,-1.387199593481647231e-02,-1.387199593481652261e-02,5.997948227728462367e-01
4.499999999999999833e-02,-1.455039703610826012e-02,-1.455039703610831563e-02,5.997700056113264289e-01
4.599999999999999922e-02,-1.524567527045743963e-02,-1.524567527045750034e-02,5.997428839564018510e-01
4.700000000000000011e-02,-1.595777238275615517e-02,-1.595777238275621762e-02,5.997133154089240303e-01
4.800000000000000100e-02,-1.668662455938757505e-02,-1.668662455938763403e-02,5.996811541151347846e-01
4.900000000000000189e-02,-1.743216276186590474e-02,-1.743216276186597413e-02,5.996462509268301044e-01
5.000000000000000278e-02,-1.819431304767236274e-02,-1.819431304767243213e-02,5.996084535631696077e-01
5.100000000000000366e-02,-1.897299687837587095e-02,-1.897299687837594034e-02,5.995676067732831349e-01
5.200000000000000455e-02,-1.976813141516906361e-02,-1.976813141516913647e-02,5.995235524988785647e-01
5.299999999999999850e-02,-2.057962980196154090e-02,-2.057962980196161029e-02,5.994761300360933465e-01
5.399999999999999939e-02,-2.140740143618910518e-02,-2.140740143618917457e-02,5.994251761958910851e-01
5.500000000000000028e-02,-2.225135222752333553e-02,-2.225135222752341185e-02,5.993705254623558076e-01
5.600000000000000117e-02,-2.311138484466761234e-02,-2.311138484466767479e-02,5.993120101482976025e-01
5.700000000000000205e-02,-2.398739895045083267e-02,-2.398739895045089859e-02,5.992494605476330616e-01
5.800000000000000294e-02,-2.487929142542921052e-02,-2.487929142542929378e-02,5.991827050840714541e-01
5.900000000000000383e-02,-2.578695658022685591e-02,-2.578695658022693571e-02,5.991115704556877475e-01
5.999999999999999778e-02,-2.671028635684158034e-02,-2.671028635684166014e-02,5.990358817750227605e-01
6.099999999999999867e-02,-2.764917051915979224e-02,-2.764917051915986163e-02,5.989554627044082480e-01
6.199999999999999956e-02,-2.860349683292486705e-02,-2.860349683292492950e-02,5.988701355862566800e-01
