t,x,y,z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000021e-03,-4.830110963275996147e-06,-4.830110963276014782e-06,5.999999999967703390e-01
2.000000000000000042e-03,-1.992011328544135318e-05,-1.992011328544148193e-05,5.999999999283991414e-01
3.000000000000000062e-03,-4.505903324305937072e-05,-4.505903324305951302e-05,5.999999993747562321e-01
4.000000000000000083e-03,-7.976332711765185622e-05,-7.976332711765200529e-05,5.999999971337082183e-01
5.000000000000000104e-03,-1.234853645932690422e-04,-1.234853645932694488e-04,5.999999908852472474e-01
6.000000000000000125e-03,-1.762919690364721280e-04,-1.762919690364725617e-04,5.999999768343109441e-01
7.000000000000000146e-03,-2.380104237426589151e-04,-2.380104237426593217e-04,5.999999495260356364e-01
8.000000000000000167e-03,-3.085769845950300403e-04,-3.085769845950307451e-04,5.999999016470549673e-01
9.000000000000001055e-03,-3.879926502312909379e-04,-3.879926502312914800e-04,5.999998239081794082e-01
1.000000000000000021e-02,-4.763304641680749223e-04,-4.763304641680751392e-04,5.999997049935911209e-01
1.099999999999999936e-02,-5.736619176141048672e-04,-5.736619176141056261e-04,5.999995314984821748e-01
1.200000000000000025e-02,-6.800937456447347538e-04,-6.800937456447350791e-04,5.999992879829244563e-01
1.300000000000000114e-02,-7.957621052869624052e-04,-7.957621052869630557e-04,5.999989570143587914e-01
1.400000000000000029e-02,-9.208199549026736645e-04,-9.208199549026751824e-04,5.999985192274567281e-01
1.499999999999999944e-02,-1.055431951766244280e-03,-1.055431951766246882e-03,5.999979534038309970e-01
1.600000000000000033e-02,-1.199773986128181398e-03,-1.199773986128181832e-03,5.999972365653404305e-01
1.700000000000000122e-02,-1.354029330653822114e-03,-1.354029330653822982e-03,5.999963440688020899e-01
1.800000000000000211e-02,-1.518385425845864781e-03,-1.518385425845864781e-03,5.999952497013136821e-01
1.899999999999999953e-02,-1.693033033136544328e-03,-1.693033033136545412e-03,5.999939257764721479e-01
2.000000000000000042e-02,-1.878164925455247901e-03,-1.878164925455251804e-03,5.999923432258591482e-01
2.100000000000000130e-02,-2.073974831397990513e-03,-2.073974831397991381e-03,5.999904716846633512e-01
2.199999999999999872e-02,-2.280656583646136892e-03,-2.280656583646139494e-03,5.999882795699227334e-01
