system,gvs_scaling,size_label,size_value,segment_count,gauss_points,integration_points,dof,batch_size,duration_s,solver_dt,save_dt,wall_time_s,per_env_wall_time_s,simulated_time_s,total_simulated_time_s,per_env_speed_ratio,total_speed_ratio,speed_ratio,noise_scale,warmup_runs,timing_repeats,device,device_id
gvs,basis-order,strain_basis_order,0,1,5,7,6,1,1.0,0.0001,0.01,49.33864984434331,49.33864984434331,1.0,1.0,0.020268086037110118,0.020268086037110118,0.020268086037110118,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,basis-order,strain_basis_order,0,1,5,7,6,2,1.0,0.0001,0.01,54.6150371703358,27.3075185851679,1.0,2.0,0.0183099756369506,0.0366199512739012,0.0183099756369506,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,basis-order,strain_basis_order,0,1,5,7,6,4,1.0,0.0001,0.01,55.967193334673844,13.991798333668461,1.0,4.0,0.01786761029841497,0.07147044119365988,0.01786761029841497,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,basis-order,strain_basis_order,0,1,5,7,6,8,1.0,0.0001,0.01,67.26961314002983,8.408701642503729,1.0,8.0,0.014865553008583223,0.11892442406866578,0.014865553008583223,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,basis-order,strain_basis_order,0,1,5,7,6,16,1.0,0.0001,0.01,61.129590268014,3.820599391750875,1.0,16.0,0.016358689721551252,0.26173903554482003,0.016358689721551252,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,basis-order,strain_basis_order,0,1,5,7,6,32,1.0,0.0001,0.01,58.552637608663645,1.829769925270739,1.0,32.0,0.017078649926643725,0.5465167976525992,0.017078649926643725,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,basis-order,strain_basis_order,0,1,5,7,6,64,1.0,0.0001,0.01,58.234436231704116,0.9099130661203768,1.0,64.0,0.017171970138444955,1.0990060888604771,0.017171970138444955,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,basis-order,strain_basis_order,0,1,5,7,6,128,1.0,0.0001,0.01,59.73341943069439,0.4666673393022999,1.0,128.0,0.01674104729866082,2.142854054228585,0.01674104729866082,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,basis-order,strain_basis_order,0,1,5,7,6,256,1.0,0.0001,0.01,72.2202467279858,0.2821103387811945,1.0,256.0,0.013846532590319907,3.5447123431218963,0.013846532590319907,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,basis-order,strain_basis_order,1,1,5,7,12,1,1.0,0.0001,0.01,62.20282207466274,62.20282207466274,1.0,1.0,0.0160764410141985,0.0160764410141985,0.0160764410141985,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,basis-order,strain_basis_order,1,1,5,7,12,2,1.0,0.0001,0.01,59.796507874678355,29.898253937339177,1.0,2.0,0.016723384617974717,0.033446769235949435,0.016723384617974717,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,basis-order,strain_basis_order,1,1,5,7,12,4,1.0,0.0001,0.01,61.31344801133188,15.32836200283297,1.0,4.0,0.01630963569061034,0.06523854276244136,0.01630963569061034,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,basis-order,strain_basis_order,1,1,5,7,12,8,1.0,0.0001,0.01,63.45740420866059,7.932175526082574,1.0,8.0,0.015758602364379745,0.12606881891503796,0.015758602364379745,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
