system,gvs_scaling,size_label,size_value,segment_count,gauss_points,integration_points,dof,batch_size,duration_s,solver_dt,save_dt,wall_time_s,per_env_wall_time_s,simulated_time_s,total_simulated_time_s,per_env_speed_ratio,total_speed_ratio,speed_ratio,noise_scale,warmup_runs,timing_repeats,device,device_id
gvs,segments,num_segments,1,1,5,7,6,1,1.0,0.0001,0.01,49.27484794030897,49.27484794030897,1.0,1.0,0.020294329496691483,0.020294329496691483,0.020294329496691483,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,segments,num_segments,1,1,5,7,6,2,1.0,0.0001,0.01,55.42447274934966,27.71223637467483,1.0,2.0,0.01804257127573187,0.03608514255146374,0.01804257127573187,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,segments,num_segments,1,1,5,7,6,4,1.0,0.0001,0.01,55.796339760010596,13.949084940002649,1.0,4.0,0.01792232258067765,0.0716892903227106,0.01792232258067765,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,segments,num_segments,1,1,5,7,6,8,1.0,0.0001,0.01,66.99608545666949,8.374510682083686,1.0,8.0,0.014926245215427725,0.1194099617234218,0.014926245215427725,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,segments,num_segments,1,1,5,7,6,16,1.0,0.0001,0.01,61.36716402632495,3.8354477516453094,1.0,16.0,0.016295359511334522,0.26072575218135235,0.016295359511334522,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,segments,num_segments,1,1,5,7,6,32,1.0,0.0001,0.01,57.58913490568133,1.7996604658025415,1.0,32.0,0.017364386557252264,0.5556603698320725,0.017364386557252264,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,segments,num_segments,1,1,5,7,6,64,1.0,0.0001,0.01,58.262466023346256,0.9103510316147853,1.0,64.0,0.01716370878636156,1.0984773623271398,0.01716370878636156,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,segments,num_segments,1,1,5,7,6,128,1.0,0.0001,0.01,59.70927600867193,0.46647871881774944,1.0,128.0,0.01674781653448225,2.143720516413728,0.01674781653448225,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,segments,num_segments,1,1,5,7,6,256,1.0,0.0001,0.01,71.89857347499735,0.2808538026367084,1.0,256.0,0.013908481791335525,3.5605713385818945,0.013908481791335525,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,segments,num_segments,2,2,5,7,12,1,1.0,0.0001,0.01,99.88205966431026,99.88205966431026,1.0,1.0,0.010011807959916538,0.010011807959916538,0.010011807959916538,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
gvs,segments,num_segments,2,2,5,7,12,2,1.0,0.0001,0.01,115.57928874533779,57.789644372668896,1.0,2.0,0.00865206916269709,0.01730413832539418,0.00865206916269709,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
