system,gvs_scaling,size_label,size_value,segment_count,gauss_points,integration_points,dof,batch_size,duration_s,solver_dt,save_dt,wall_time_s,per_env_wall_time_s,simulated_time_s,total_simulated_time_s,per_env_speed_ratio,total_speed_ratio,speed_ratio,noise_scale,warmup_runs,timing_repeats,device,device_id
pcs,,num_segments,1,1,5,7,6,1,1.0,0.0001,0.01,11.960302951003541,11.960302951003541,1.0,1.0,0.08360992226506218,0.08360992226506218,0.08360992226506218,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
pcs,,num_segments,1,1,5,7,6,2,1.0,0.0001,0.01,11.504489151668773,5.7522445758343865,1.0,2.0,0.08692259054848567,0.17384518109697134,0.08692259054848567,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
pcs,,num_segments,1,1,5,7,6,4,1.0,0.0001,0.01,11.880540144998426,2.9701350362496064,1.0,4.0,0.08417125718151702,0.3366850287260681,0.08417125718151702,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
pcs,,num_segments,1,1,5,7,6,8,1.0,0.0001,0.01,12.194685415330847,1.5243356769163559,1.0,8.0,0.08200293537238981,0.6560234829791185,0.08200293537238981,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
pcs,,num_segments,1,1,5,7,6,16,1.0,0.0001,0.01,12.465337734664596,0.7790836084165372,1.0,16.0,0.08022245536269114,1.2835592858030582,0.08022245536269114,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
pcs,,num_segments,1,1,5,7,6,32,1.0,0.0001,0.01,12.024156405668085,0.37575488767712767,1.0,32.0,0.08316591752986584,2.661309360955707,0.08316591752986584,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
pcs,,num_segments,1,1,5,7,6,64,1.0,0.0001,0.01,12.71787943499415,0.1987168661717836,1.0,64.0,0.07862946060397685,5.032285478654519,0.07862946060397685,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
pcs,,num_segments,1,1,5,7,6,128,1.0,0.0001,0.01,14.69882755233751,0.1148345902526368,1.0,128.0,0.06803263705484952,8.708177543020739,0.06803263705484952,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
pcs,,num_segments,1,1,5,7,6,256,1.0,0.0001,0.01,19.68055944966424,0.07687718535025094,1.0,256.0,0.05081156369348334,13.007760305531734,0.05081156369348334,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
pcs,,num_segments,2,2,5,7,12,1,1.0,0.0001,0.01,19.89084403432692,19.89084403432692,1.0,1.0,0.05027438746562162,0.05027438746562162,0.05027438746562162,0.001,1,3,gpu,gpu:NVIDIA GeForce RTX 5090:0
