Marker,Tau Condition,Error
M1,$\tau_{ext} = 0$,0.010547592457023157
M1,$\tau_{ext} = 0$,0.010481720734659623
M1,$\tau_{ext} = 0$,0.011114837388080986
M1,$\tau_{ext} = 0$,0.012223644484781427
M1,$\tau_{ext} = 0$,0.010280613797140025
M1,$\tau_{ext} = 0$,0.010816237714104006
M1,$\tau_{ext} = 0$,0.01184580288985208
M1,$\tau_{ext} = 0$,0.01313795925639338
M1,$\tau_{ext} = 0$,0.011313774746616422
M1,$\tau_{ext} = 0$,0.010943532467742616
M1,$\tau_{ext} = 0$,0.011513215364058475
M1,$\tau_{ext} = 0$,0.011005744590869938
M1,$\tau_{ext} = 0$,0.011265144509611245
M1,$\tau_{ext} = 0$,0.012343295892807016
M1,$\tau_{ext} = 0$,0.011717781118750202
M1,$\tau_{ext} = 0$,0.014711625277772622
M1,$\tau_{ext} = 0$,0.01329830733050621
M1,$\tau_{ext} = 0$,0.013973177552803888
M1,$\tau_{ext} = 0$,0.012865921855548837
M1,$\tau_{ext} = 0$,0.013708661647605133
M1,$\tau_{ext} = 0$,0.011387320428253881
M1,$\tau_{ext} = 0$,0.011430457981403273
M1,$\tau_{ext} = \tau_{ext}^*$,0.005666255570084696
M1,$\tau_{ext} = \tau_{ext}^*$,0.00621616859745457
M1,$\tau_{ext} = \tau_{ext}^*$,0.005683265834549413
M1,$\tau_{ext} = \tau_{ext}^*$,0.008333510416741043
M1,$\tau_{ext} = \tau_{ext}^*$,0.006238107424010983
M1,$\tau_{ext} = \tau_{ext}^*$,0.007007432643489375
M1,$\tau_{ext} = \tau_{ext}^*$,0.007133574798852588
M1,$\tau_{ext} = \tau_{ext}^*$,0.008498222257698087
M1,$\tau_{ext} = \tau_{ext}^*$,0.007157566741204519
M1,$\tau_{ext} = \tau_{ext}^*$,0.00925823366131272
M1,$\tau_{ext} = \tau_{ext}^*$,0.00972971684442196
M1,$\tau_{ext} = \tau_{ext}^*$,0.006804779746064529
M1,$\tau_{ext} = \tau_{ext}^*$,0.008567348237001803
M1,$\tau_{ext} = \tau_{ext}^*$,0.008433171765626392
M1,$\tau_{ext} = \tau_{ext}^*$,0.009128888083849034
M1,$\tau_{ext} = \tau_{ext}^*$,0.009061664669164509
