alpha,loss_median,grad_Kp,grad_Ki,grad_Kd,update_Kp,update_Ki,update_Kd,rel_Kp,rel_Ki,rel_Kd
0.5,2.259645e-03,1.959974e-05,1.389105e-06,2.936053e-04,2.197471e-04,1.311745e-04,4.439621e-04,2.090403e-06,1.419636e-05,1.720571e-03
0.5,2.259511e-03,1.959558e-05,1.388891e-06,2.934580e-04,3.412120e-04,9.407896e-05,6.425569e-04,3.246640e-06,1.100718e-05,2.486758e-03
0.5,2.259316e-03,1.958955e-05,1.388577e-06,2.932445e-04,4.546782e-04,7.828310e-05,7.926569e-04,4.326149e-06,9.281338e-06,3.061380e-03
0.5,2.259074e-03,1.958210e-05,1.388188e-06,2.929813e-04,5.497935e-04,6.938463e-05,9.182099e-04,5.231009e-06,8.335474e-06,3.537305e-03
0.5,2.258793e-03,1.957348e-05,1.387737e-06,2.926765e-04,6.321765e-04,6.374864e-05,1.028186e-03,6.014723e-06,7.756391e-06,3.949349e-03
0.5,2.258479e-03,1.956384e-05,1.387231e-06,2.923355e-04,7.054874e-04,5.996349e-05,1.127109e-03,6.712123e-06,7.383756e-06,4.315102e-03
0.5,2.258135e-03,1.955328e-05,1.386676e-06,2.919621e-04,7.719923e-04,5.734758e-05,1.217639e-03,7.344766e-06,7.140291e-06,4.644928e-03
0.5,2.257763e-03,1.954189e-05,1.386077e-06,2.915591e-04,8.331696e-04,5.552424e-05,1.301495e-03,7.926717e-06,6.983424e-06,4.945556e-03
0.5,2.257366e-03,1.952974e-05,1.385436e-06,2.911288e-04,8.900363e-04,5.426513e-05,1.379863e-03,8.467653e-06,6.887470e-06,5.221651e-03
0.5,2.256946e-03,1.951688e-05,1.384757e-06,2.906732e-04,9.433234e-04,5.342223e-05,1.453603e-03,8.974527e-06,6.835882e-06,5.476618e-03
0.5,2.256504e-03,1.950336e-05,1.384043e-06,2.901939e-04,9.935759e-04,5.289466e-05,1.523360e-03,9.452522e-06,6.817465e-06,5.713033e-03
0.5,2.256042e-03,1.948923e-05,1.383294e-06,2.896922e-04,1.041212e-03,5.261093e-05,1.589633e-03,9.905616e-06,6.824346e-06,5.932911e-03
0.5,2.255560e-03,1.947451e-05,1.382513e-06,2.891695e-04,1.086560e-03,5.251882e-05,1.652818e-03,1.033694e-05,6.850824e-06,6.137866e-03
0.5,2.255060e-03,1.945924e-05,1.381702e-06,2.886268e-04,1.129884e-03,5.257921e-05,1.713234e-03,1.074900e-05,6.892660e-06,6.329221e-03
0.5,2.254542e-03,1.944345e-05,1.380862e-06,2.880651e-04,1.171401e-03,5.276221e-05,1.771143e-03,1.114384e-05,6.946647e-06,6.508079e-03
0.5,2.254008e-03,1.942717e-05,1.379994e-06,2.874854e-04,1.211287e-03,5.304460e-05,1.826764e-03,1.152318e-05,7.010306e-06,6.675376e-03
0.5,2.253458e-03,1.941042e-05,1.379099e-06,2.868885e-04,1.249695e-03,5.340806e-05,1.880281e-03,1.188843e-05,7.081702e-06,6.831918e-03
0.5,2.252893e-03,1.939322e-05,1.378179e-06,2.862753e-04,1.286750e-03,5.383797e-05,1.931851e-03,1.224082e-05,7.159299e-06,6.978406e-03
0.5,2.252314e-03,1.937561e-05,1.377235e-06,2.856463e-04,1.322564e-03,5.432253e-05,1.981609e-03,1.258138e-05,7.241866e-06,7.115458e-03
0.5,2.251721e-03,1.935759e-05,1.376267e-06,2.850023e-04,1.357230e-03,5.485215e-05,2.029672e-03,1.291101e-05,7.328407e-06,7.243626e-03
0.5,2.251115e-03,1.933919e-05,1.375277e-06,2.843439e-04,1.390831e-03,5.541891e-05,2.076145e-03,1.323051e-05,7.418107e-06,7.363404e-03
0.5,2.250497e-03,1.932042e-05,1.374265e-06,2.836718e-04,1.423441e-03,5.601627e-05,2.121117e-03,1.354056e-05,7.471321e-06,7.475240e-03
0.5,2.249866e-03,1.930131e-05,1.373232e-06,2.829865e-04,1.455123e-03,5.663877e-05,2.164669e-03,1.384178e-05,7.505939e-06,7.579544e-03
0.5,2.249225e-03,1.928187e-05,1.372179e-06,2.822886e-04,1.485935e-03,5.728184e-05,2.206873e-03,1.413472e-05,7.548000e-06,7.676692e-03
0.5,2.248572e-03,1.926212e-05,1.371106e-06,2.815786e-04,1.515929e-03,5.794159e-05,2.247795e-03,1.441986e-05,7.596467e-06,7.767032e-03
0.5,2.247908e-03,1.924206e-05,1.370015e-06,2.808569e-04,1.545151e-03,5.861475e-05,2.287492e-03,1.469765e-05,7.650449e-06,7.850887e-03
0.5,2.247235e-03,1.922172e-05,1.368906e-06,2.801241e-04,1.573643e-03,5.929851e-05,2.326019e-03,1.496848e-05,7.709176e-06,7.928559e-03
0.5,2.246552e-03,1.920111e-05,1.367780e-06,2.793807e-04,1.601442e-03,5.999047e-05,2.363424e-03,1.523272e-05,7.771982e-06,8.000332e-03
0.5,2.245860e-03,1.918024e-05,1.366637e-06,2.786270e-04,1.628584e-03,6.068856e-05,2.399751e-03,1.549069e-05,7.838289e-06,8.066471e-03
0.5,2.245159e-03,1.915912e-05,1.365478e-06,2.778635e-04,1.655100e-03,6.139099e-05,2.435042e-03,1.574270e-05,7.907591e-06,8.127059e-03
0.5,2.244449e-03,1.913777e-05,1.364303e-06,2.770905e-04,1.681019e-03,6.209622e-05,2.469334e-03,1.598903e-05,7.979449e-06,8.178331e-03
0.5,2.243732e-03,1.911621e-05,1.363113e-06,2.763086e-04,1.706368e-03,6.280292e-05,2.502664e-03,1.622993e-05,8.053478e-06,8.224554e-03
0.5,2.243007e-03,1.909443e-05,1.361908e-06,2.755181e-04,1.731173e-03,6.350991e-05,2.535063e-03,1.646563e-05,8.129338e-06,8.265952e-03
0.5,2.242274e-03,1.907246e-05,1.360689e-06,2.747193e-04,1.755455e-03,6.421619e-05,2.566563e-03,1.669636e-05,8.206732e-06,8.302742e-03
0.5,2.241535e-03,1.905029e-05,1.359457e-06,2.739126e-04,1.779237e-03,6.492086e-05,2.597193e-03,1.692232e-05,8.285399e-06,8.335130e-03
0.5,2.240788e-03,1.902796e-05,1.358212e-06,2.730983e-04,1.802538e-03,6.562317e-05,2.626980e-03,1.714370e-05,8.365106e-06,8.363315e-03
0.5,2.240036e-03,1.900545e-05,1.356955e-06,2.722769e-04,1.825377e-03,6.632243e-05,2.655949e-03,1.736067e-05,8.445649e-06,8.387485e-03
0.5,2.239277e-03,1.898279e-05,1.355685e-06,2.714485e-04,1.847772e-03,6.701806e-05,2.684124e-03,1.757341e-05,8.526848e-06,8.407822e-03
0.5,2.238512e-03,1.895999e-05,1.354403e-06,2.706136e-04,1.869738e-03,6.770956e-05,2.711529e-03,1.778206e-05,8.608541e-06,8.424502e-03
