alpha,loss_median,grad_Kp,grad_Ki,grad_Kd,update_Kp,update_Ki,update_Kd,rel_Kp,rel_Ki,rel_Kd
700,2.259645e-03,1.959974e-05,1.389105e-06,2.936053e-04,3.076460e-01,1.836444e-01,6.215470e-01,2.926565e-03,1.987491e-02,2.408800e+00
700,2.129922e-03,1.577393e-05,1.127479e-06,1.315883e-04,4.222902e-01,1.297788e-01,6.291150e-01,4.018704e-03,1.430679e-02,6.838733e-01
700,2.073958e-03,1.463299e-05,9.328973e-07,9.996725e-05,5.261480e-01,1.051491e-01,5.482665e-01,4.999407e-03,1.177230e-02,3.728436e-01
700,2.049940e-03,1.456586e-05,8.023789e-07,1.182364e-04,6.162687e-01,9.002649e-02,4.798678e-01,5.841415e-03,1.020286e-02,2.413132e-01
700,2.024087e-03,1.457356e-05,7.443864e-07,1.279997e-04,6.958693e-01,7.952442e-02,4.651172e-01,6.575310e-03,9.068123e-03,1.908789e-01
700,1.986086e-03,1.436945e-05,7.256427e-07,1.218523e-04,7.650541e-01,7.178208e-02,4.808537e-01,7.202371e-03,8.195501e-03,1.938946e-01
700,1.939343e-03,1.400824e-05,7.286143e-07,1.018748e-04,8.243234e-01,6.592281e-02,5.029641e-01,7.727991e-03,7.555343e-03,1.751114e-01
700,1.893070e-03,1.368482e-05,7.499912e-07,6.193612e-05,8.758566e-01,6.146731e-02,5.095501e-01,8.173496e-03,7.173292e-03,1.533504e-01
700,1.856418e-03,1.359808e-05,7.792616e-07,4.166838e-05,9.233716e-01,5.810502e-02,4.854880e-01,8.574303e-03,7.066109e-03,1.313058e-01
700,1.833483e-03,1.381230e-05,8.049649e-07,3.836854e-05,9.706895e-01,5.558661e-02,3.971883e-01,8.966067e-03,7.133043e-03,1.082005e-01
700,1.820409e-03,1.415976e-05,8.169923e-07,6.878684e-05,1.019434e+00,5.367897e-02,3.849782e-01,9.363331e-03,7.132242e-03,9.483787e-02
700,1.807778e-03,1.431620e-05,8.100390e-07,8.893388e-05,1.067632e+00,5.216510e-02,3.589451e-01,9.747339e-03,7.028424e-03,8.206343e-02
700,1.788264e-03,1.406201e-05,7.849165e-07,6.457629e-05,1.111117e+00,5.086524e-02,3.450883e-01,1.008001e-02,6.864023e-03,7.556932e-02
700,1.762326e-03,1.346276e-05,7.466003e-07,5.066471e-05,1.146706e+00,4.965233e-02,3.481931e-01,1.033354e-02,6.665560e-03,6.758578e-02
700,1.735752e-03,1.275966e-05,7.015609e-07,3.740152e-05,1.173978e+00,4.845350e-02,3.454676e-01,1.050602e-02,6.448460e-03,5.979227e-02
700,1.713351e-03,1.214973e-05,6.405143e-07,2.741213e-05,1.194584e+00,4.724148e-02,3.006059e-01,1.061421e-02,6.224520e-03,5.364036e-02
700,1.695915e-03,1.169712e-05,5.898437e-07,2.807259e-05,1.210677e+00,4.602108e-02,2.803881e-01,1.067887e-02,6.003996e-03,4.728462e-02
700,1.681290e-03,1.137408e-05,5.589903e-07,4.020905e-05,1.223921e+00,4.481518e-02,2.754119e-01,1.071579e-02,5.795523e-03,4.383462e-02
700,1.666672e-03,1.112792e-05,5.433251e-07,4.856675e-05,1.235270e+00,4.365337e-02,2.614036e-01,1.073408e-02,5.605628e-03,4.105134e-02
700,1.650196e-03,1.092107e-05,5.333197e-07,5.072144e-05,1.245207e+00,4.256392e-02,2.542464e-01,1.073842e-02,5.438430e-03,3.985155e-02
