alpha,loss_median,grad_Kp,grad_Ki,grad_Kd,update_Kp,update_Ki,update_Kd,rel_Kp,rel_Ki,rel_Kd
4893,1.489059e-02,4.178191e-04,1.082552e-03,1.105055e-03,6.326054e+01,8.304124e+01,1.693313e+01,9.996326e-01,3.254237e+01,2.671206e+02
4893,2.832697e-03,6.699384e-05,2.550323e-05,9.251472e-05,4.387394e+01,5.597545e+01,9.871076e+00,3.907131e-01,6.622282e-01,6.051045e-01
4893,2.546026e-03,5.084104e-05,2.503996e-05,7.076120e-05,3.558910e+01,4.338969e+01,6.864713e+00,2.315233e-01,3.079645e-01,2.644103e-01
4893,2.329163e-03,3.480638e-05,1.054809e-05,5.766759e-05,3.069637e+01,3.559474e+01,5.116107e+00,1.631275e-01,1.928497e-01,1.545727e-01
4893,2.170925e-03,2.764857e-05,5.664229e-06,4.886827e-05,2.728469e+01,3.009450e+01,3.931274e+00,1.252315e-01,1.366188e-01,1.009539e-01
4893,2.018868e-03,2.255527e-05,5.992703e-06,4.339374e-05,2.465579e+01,2.593240e+01,3.063684e+00,9.978094e-02,1.035536e-01,7.147066e-02
4893,1.875766e-03,1.861614e-05,5.316295e-06,3.876081e-05,2.249542e+01,2.264103e+01,2.403945e+00,8.160821e-02,8.191481e-02,5.236679e-02
4893,1.743903e-03,1.524333e-05,4.503286e-06,3.423473e-05,2.064882e+01,1.995601e+01,1.885710e+00,6.751141e-02,6.672135e-02,3.906055e-02
4893,1.624409e-03,1.274068e-05,3.798533e-06,3.065213e-05,1.903270e+01,1.771452e+01,1.468734e+00,5.671748e-02,5.550851e-02,2.930516e-02
4893,1.517186e-03,1.081306e-05,3.206002e-06,2.780475e-05,1.759731e+01,1.581023e+01,1.127225e+00,4.942069e-02,4.692250e-02,2.284289e-02
4893,1.421333e-03,9.314650e-06,2.691993e-06,2.551410e-05,1.630994e+01,1.417037e+01,8.440657e-01,4.367609e-02,4.015827e-02,1.704703e-02
4893,1.335600e-03,8.138843e-06,2.185474e-06,2.364256e-05,1.514728e+01,1.274313e+01,6.694881e-01,3.889910e-02,3.470724e-02,1.242183e-02
4893,1.258675e-03,7.198571e-06,1.796346e-06,2.208806e-05,1.409180e+01,1.149041e+01,4.748270e-01,3.467593e-02,3.023411e-02,8.711239e-03
4893,1.189342e-03,6.433539e-06,1.520806e-06,2.077554e-05,1.312976e+01,1.038334e+01,3.806072e-01,3.101514e-02,2.650854e-02,6.737407e-03
4893,1.126532e-03,5.801342e-06,1.335964e-06,1.964936e-05,1.225003e+01,9.399573e+00,2.831595e-01,2.788737e-02,2.336709e-02,4.543528e-03
4893,1.069337e-03,5.271627e-06,1.191313e-06,1.866766e-05,1.144344e+01,8.521394e+00,2.294763e-01,2.519008e-02,2.070031e-02,3.693153e-03
4893,1.016993e-03,4.810708e-06,1.075500e-06,1.779841e-05,1.070228e+01,7.734537e+00,2.865148e-01,2.313316e-02,1.840913e-02,4.940469e-03
4893,9.688697e-04,4.389399e-06,9.807257e-07,1.701720e-05,1.001998e+01,7.027316e+00,3.746724e-01,2.134705e-02,1.642476e-02,6.485497e-03
4893,9.244411e-04,4.024472e-06,8.758875e-07,1.630686e-05,9.390870e+00,6.390032e+00,4.577232e-01,1.971911e-02,1.469508e-02,7.967787e-03
4893,8.832716e-04,3.705741e-06,7.851449e-07,1.566016e-05,8.810029e+00,5.814536e+00,5.322160e-01,1.822957e-02,1.317906e-02,9.332516e-03
