alpha,loss_median,grad_Kp,grad_Ki,grad_Kd,update_Kp,update_Ki,update_Kd,rel_Kp,rel_Ki,rel_Kd
0.01,2.638571e-03,1.948678e-05,1.746776e-07,1.829491e-04,5.252328e-06,2.459283e-06,6.041866e-06,4.996122e-08,2.357206e-07,4.654781e-06
0.0215443,2.638570e-03,1.948674e-05,1.746777e-07,1.829486e-04,1.582496e-05,3.539874e-06,1.798173e-05,1.505600e-07,3.386708e-07,1.388721e-05
0.0464159,2.638566e-03,1.948664e-05,1.746782e-07,1.829471e-04,4.384448e-05,5.876884e-06,4.708038e-05,4.171380e-07,5.606395e-07,3.638816e-05
0.1,2.638557e-03,1.948638e-05,1.746795e-07,1.829432e-04,1.125360e-04,1.033694e-05,1.166621e-04,1.070657e-06,9.798488e-07,9.020314e-05
0.215443,2.638533e-03,1.948572e-05,1.746826e-07,1.829336e-04,2.766149e-04,1.875689e-05,2.803218e-04,2.631658e-06,1.768083e-06,2.168036e-04
0.464159,2.638477e-03,1.948413e-05,1.746901e-07,1.829103e-04,6.619538e-04,3.469833e-05,6.604439e-04,6.297637e-06,3.256855e-06,5.109276e-04
1,2.638343e-03,1.948038e-05,1.747076e-07,1.828555e-04,1.555810e-03,6.502752e-05,1.534839e-03,1.480139e-05,6.089829e-06,1.187813e-03
2.15443,2.638032e-03,1.947166e-05,1.747481e-07,1.827279e-04,3.609754e-03,1.234612e-04,3.530889e-03,3.434142e-05,1.152556e-05,2.734457e-03
4.64159,2.637317e-03,1.945159e-05,1.748417e-07,1.824340e-04,8.293971e-03,2.373297e-04,8.058740e-03,7.890304e-05,2.204640e-05,6.250188e-03
10,2.635688e-03,1.940579e-05,1.750570e-07,1.817610e-04,1.890937e-02,4.602075e-04,1.827251e-02,1.798824e-04,4.258758e-05,1.421784e-02
21.5443,2.632013e-03,1.930207e-05,1.755568e-07,1.802249e-04,4.282707e-02,8.987139e-04,4.118396e-02,4.073677e-04,8.299157e-05,3.227681e-02
46.4159,2.623837e-03,1.906907e-05,1.787491e-07,1.767114e-04,9.638680e-02,1.761513e-03,9.222916e-02,9.166169e-04,1.626773e-04,7.342930e-02
100,2.606092e-03,1.855153e-05,1.118638e-07,1.685776e-04,2.153701e-01,3.441681e-03,2.047400e-01,2.047080e-03,3.184790e-04,1.682651e-01
215.443,2.569658e-03,1.742571e-05,1.118213e-07,1.491082e-04,4.763348e-01,6.671840e-03,4.474070e-01,4.522364e-03,6.176789e-04,3.877471e-01
464.159,2.506219e-03,1.509848e-05,2.039078e-07,8.311063e-05,1.035683e+00,1.388232e-02,9.416507e-01,9.807813e-03,1.275616e-03,8.259267e-01
1000,2.472282e-03,1.113612e-05,6.929299e-07,8.212899e-05,2.190648e+00,2.890341e-02,1.726614e+00,2.062884e-02,2.973409e-03,1.075473e+00
2154.43,3.254869e-03,1.528255e-05,2.315421e-06,7.814184e-04,4.774323e+00,1.007024e-01,1.432961e+00,4.441979e-02,1.304896e-02,7.628314e-01
4641.59,2.851638e-03,1.205709e-05,1.435600e-06,3.511901e-04,1.002625e+01,2.114746e-01,5.536797e+00,9.075091e-02,2.460974e-02,1.651032e+00
10000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
