alpha,loss_median,grad_Kp,grad_Ki,grad_Kd,update_Kp,update_Ki,update_Kd,rel_Kp,rel_Ki,rel_Kd
0.01,1.489059e-02,4.178191e-04,1.082552e-03,1.105055e-03,1.292878e-04,1.697144e-04,3.460684e-05,2.042985e-06,6.650801e-05,5.459239e-04
0.0215443,1.489031e-02,4.178090e-04,1.082527e-03,1.104748e-03,3.983729e-04,5.191017e-04,1.058424e-04,6.295210e-06,2.029817e-04,1.671067e-03
0.0464159,1.488943e-02,4.177782e-04,1.082449e-03,1.103811e-03,1.054985e-03,1.371030e-03,2.793865e-04,1.667131e-05,5.352985e-04,4.407938e-03
0.1,1.488712e-02,4.176968e-04,1.082243e-03,1.101343e-03,2.628916e-03,3.411391e-03,6.944239e-04,4.154300e-05,1.329885e-03,1.092484e-02
0.215443,1.488138e-02,4.174942e-04,1.081732e-03,1.095237e-03,6.337527e-03,8.215572e-03,1.668980e-03,1.001456e-04,3.196395e-03,2.607066e-02
0.464159,1.486757e-02,4.170064e-04,1.080501e-03,1.080750e-03,1.496052e-02,1.937915e-02,3.921021e-03,2.363926e-04,7.515899e-03,6.020622e-02
1,1.483517e-02,4.158569e-04,1.077602e-03,1.047725e-03,3.479975e-02,4.505058e-02,9.040521e-03,5.497989e-04,1.736775e-02,1.332942e-01
2.15443,1.476069e-02,4.131920e-04,1.070890e-03,9.766407e-04,8.003271e-02,1.035570e-01,2.044564e-02,1.264025e-03,3.942556e-02,2.745755e-01
4.64159,1.459358e-02,4.071123e-04,1.055613e-03,8.341106e-04,1.822348e-01,2.357160e-01,4.508523e-02,2.876054e-03,8.729849e-02,4.952716e-01
10,1.423124e-02,3.935624e-04,1.021674e-03,6.633691e-04,4.105947e-01,5.310208e-01,9.597645e-02,6.469088e-03,1.848615e-01,7.296763e-01
21.5443,1.348499e-02,3.647511e-04,9.495921e-04,4.197844e-04,9.123512e-01,1.180255e+00,1.955674e-01,1.431948e-02,3.584305e-01,8.750975e-01
46.4159,1.206630e-02,3.093668e-04,8.098641e-04,1.912726e-04,1.985373e+00,2.571600e+00,3.828250e-01,3.089484e-02,5.936747e-01,9.326627e-01
100,9.300923e-03,2.086113e-04,5.410985e-04,8.856739e-05,4.192788e+00,5.436809e+00,7.486060e-01,6.402602e-02,7.993068e-01,9.499440e-01
215.443,6.301081e-03,1.207343e-04,2.746677e-04,8.545940e-05,8.562500e+00,1.109398e+01,1.440264e+00,1.255599e-01,8.945975e-01,9.363171e-01
464.159,4.030122e-03,6.009955e-05,1.139240e-04,9.910937e-05,1.705992e+01,2.202490e+01,2.747145e+00,2.299872e-01,9.309009e-01,9.226799e-01
1000,2.426531e-03,3.804337e-05,3.876860e-05,1.024539e-04,3.359540e+01,4.319649e+01,5.218717e+00,3.841899e-01,9.422860e-01,9.123613e-01
2154.43,2.083327e-03,4.478607e-05,8.190981e-06,9.481490e-05,6.591640e+01,8.448178e+01,9.904616e+00,5.651616e-01,9.481062e-01,9.064185e-01
4641.59,2.115495e-03,4.109228e-05,1.354426e-05,7.531515e-05,1.293537e+02,1.652418e+02,1.883246e+01,7.237153e-01,9.517775e-01,9.056240e-01
10000,2.671090e-03,4.268538e-05,1.324439e-05,5.528363e-05,2.541164e+02,3.234049e+02,3.597400e+01,8.313519e-01,9.549674e-01,9.092685e-01
21544.3,3.178335e-03,3.150196e-05,5.217453e-06,3.580053e-05,4.993717e+02,6.333222e+02,6.911401e+01,8.940157e-01,9.568833e-01,9.135421e-01
46415.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
