alpha,loss_median,grad_Kp,grad_Ki,grad_Kd,update_Kp,update_Ki,update_Kd,rel_Kp,rel_Ki,rel_Kd
3000,1.129835e-03,9.800350e-06,6.955186e-07,1.467710e-04,1.065100e+00,7.629211e-01,1.272110e+00,9.962209e-03,7.773812e-02,4.929957e+00
3000,1.048921e-03,7.382182e-06,4.718652e-07,5.526793e-05,8.617757e-01,5.222033e-01,9.410586e-01,8.261085e-03,5.876864e-02,6.347736e-01
3000,1.041376e-03,7.599298e-06,3.792086e-07,7.669513e-05,1.020615e+00,4.111927e-01,7.941487e-01,9.805112e-03,5.158880e-02,3.324567e-01
3000,1.012114e-03,7.491260e-06,3.595623e-07,7.353405e-05,1.211099e+00,3.432400e-01,8.711065e-01,1.162046e-02,4.747682e-02,3.011927e-01
3000,9.654798e-04,7.053794e-06,3.735087e-07,4.931930e-05,1.368957e+00,2.964897e-01,9.372870e-01,1.308768e-02,4.393277e-02,2.729439e-01
3000,9.308868e-04,6.928819e-06,4.073904e-07,2.028971e-05,1.508240e+00,2.624855e-01,8.673560e-01,1.434209e-02,4.050651e-02,2.167251e-01
3000,9.228872e-04,7.415820e-06,3.261738e-07,4.662768e-05,1.660993e+00,2.367938e-01,6.819088e-01,1.568699e-02,3.742603e-02,1.633221e-01
3000,9.179322e-04,7.676841e-06,4.048616e-07,6.753930e-05,1.815971e+00,2.163518e-01,6.296179e-01,1.700796e-02,3.493282e-02,1.424334e-01
3000,8.940441e-04,7.055788e-06,3.955937e-07,2.925066e-05,1.932535e+00,1.990777e-01,6.607582e-01,1.792265e-02,3.304201e-02,1.213862e-01
3000,8.682661e-04,6.262420e-06,3.496465e-07,1.956559e-05,2.007754e+00,1.838450e-01,6.328129e-01,1.841752e-02,3.156903e-02,9.882930e-02
3000,8.539773e-04,5.805422e-06,3.002773e-07,1.860346e-05,2.061513e+00,1.701865e-01,5.402160e-01,1.869035e-02,3.039504e-02,8.210754e-02
3000,8.454306e-04,5.582960e-06,2.704925e-07,3.223490e-05,2.106094e+00,1.579410e-01,4.875314e-01,1.886123e-02,2.890427e-02,6.924110e-02
3000,8.341475e-04,5.412852e-06,2.172143e-07,3.661647e-05,2.144068e+00,1.470444e-01,4.644709e-01,1.895786e-02,2.731247e-02,6.732394e-02
3000,8.174131e-04,5.236380e-06,2.336070e-07,3.074959e-05,2.175202e+00,1.374458e-01,4.883483e-01,1.898198e-02,2.585877e-02,6.510375e-02
3000,7.979666e-04,5.094919e-06,2.441653e-07,1.800117e-05,2.201319e+00,1.290656e-01,5.138151e-01,1.895313e-02,2.471785e-02,6.139031e-02
3000,7.805009e-04,5.050362e-06,2.419690e-07,1.241816e-05,2.227133e+00,1.217638e-01,4.936864e-01,1.891433e-02,2.399378e-02,5.534570e-02
3000,7.674266e-04,5.098019e-06,2.369958e-07,1.669237e-05,2.256962e+00,1.153309e-01,4.461501e-01,1.890239e-02,2.369553e-02,4.872746e-02
3000,7.565030e-04,5.132117e-06,2.274412e-07,2.663211e-05,2.289851e+00,1.095318e-01,4.134552e-01,1.890806e-02,2.372568e-02,4.440309e-02
3000,7.435672e-04,5.034761e-06,2.145109e-07,2.500428e-05,2.319217e+00,1.041746e-01,4.088443e-01,1.887691e-02,2.391860e-02,4.107316e-02
3000,7.282231e-04,4.804690e-06,2.004300e-07,1.282967e-05,2.338809e+00,9.914250e-02,4.181237e-01,1.876114e-02,2.392500e-02,3.914581e-02
3000,7.141528e-04,4.542593e-06,1.868618e-07,7.681384e-06,2.347518e+00,9.438371e-02,3.931556e-01,1.855726e-02,2.316592e-02,3.638757e-02
3000,7.039040e-04,4.326203e-06,1.749489e-07,9.182984e-06,2.348120e+00,8.989266e-02,3.192202e-01,1.829249e-02,2.241510e-02,3.175454e-02
3000,6.963392e-04,4.167254e-06,1.652756e-07,1.858418e-05,2.343790e+00,8.568504e-02,2.744476e-01,1.799523e-02,2.169125e-02,2.581255e-02
3000,6.884674e-04,4.042008e-06,1.575408e-07,2.338119e-05,2.336413e+00,8.176744e-02,2.474459e-01,1.768201e-02,2.100263e-02,2.600722e-02
3000,6.783805e-04,3.931596e-06,1.508056e-07,2.044759e-05,2.326848e+00,7.812214e-02,2.543497e-01,1.736044e-02,2.034644e-02,2.485637e-02
