alpha,loss_median,grad_Kp,grad_Ki,grad_Kd,update_Kp,update_Ki,update_Kd,rel_Kp,rel_Ki,rel_Kd
1000,2.639445e-03,1.957669e-05,1.441928e-07,1.852104e-04,5.274850e-01,2.461621e-01,6.113528e-01,5.017568e-03,2.352028e-02,4.696422e-01
1000,2.537592e-03,1.631066e-05,7.611371e-08,1.265989e-04,6.616671e-01,1.650600e-01,7.058662e-01,6.303046e-03,1.614671e-02,6.525104e-01
1000,2.472972e-03,1.292719e-05,6.927988e-08,3.817169e-05,7.507315e-01,1.282057e-01,5.975116e-01,7.141271e-03,1.296563e-02,4.453859e-01
1000,2.485187e-03,1.074575e-05,1.357266e-07,1.169090e-04,7.995047e-01,1.059037e-01,3.094940e-01,7.584069e-03,1.091344e-02,1.975874e-01
1000,2.515080e-03,1.004925e-05,1.714952e-07,1.693371e-04,8.400856e-01,9.079262e-02,2.384409e-01,7.940126e-03,9.409015e-03,1.572521e-01
1000,2.480396e-03,1.016514e-05,1.527833e-07,1.623094e-04,8.865434e-01,7.927153e-02,3.114436e-01,8.343370e-03,8.250955e-03,1.755167e-01
1000,2.425483e-03,1.093022e-05,9.728462e-08,6.772512e-05,9.467442e-01,6.995636e-02,3.779883e-01,8.866752e-03,7.321867e-03,2.299696e-01
1000,2.401287e-03,1.208290e-05,6.678306e-08,5.049352e-05,1.022922e+00,6.202668e-02,3.919543e-01,9.528397e-03,6.555970e-03,2.000096e-01
1000,2.398770e-03,1.306300e-05,5.627909e-08,6.023615e-05,1.109303e+00,5.525872e-02,3.051163e-01,1.027103e-02,5.918419e-03,1.488505e-01
1000,2.395294e-03,1.350481e-05,4.992189e-08,8.815836e-05,1.196311e+00,4.946725e-02,2.507418e-01,1.100343e-02,5.384714e-03,1.069911e-01
1000,2.378973e-03,1.332352e-05,4.879792e-08,9.131082e-05,1.274659e+00,4.452317e-02,2.659892e-01,1.163971e-02,4.931804e-03,1.043297e-01
1000,2.350387e-03,1.262952e-05,4.662128e-08,7.400990e-05,1.337716e+00,4.032273e-02,3.109293e-01,1.212122e-02,4.537139e-03,1.155293e-01
1000,2.318078e-03,1.164624e-05,5.155971e-08,4.752976e-05,1.382649e+00,3.676989e-02,3.462064e-01,1.242620e-02,4.185284e-03,1.183161e-01
1000,2.292317e-03,1.063979e-05,6.600619e-08,2.097805e-05,1.410667e+00,3.376711e-02,3.206270e-01,1.257036e-02,3.869992e-03,1.002337e-01
1000,2.277812e-03,9.835282e-06,8.234168e-08,4.160891e-05,1.426201e+00,3.120752e-02,2.845822e-01,1.259781e-02,3.588626e-03,8.239451e-02
1000,2.268821e-03,9.330724e-06,9.316030e-08,7.301187e-05,1.434943e+00,2.892906e-02,2.612016e-01,1.256216e-02,3.338647e-03,7.205110e-02
1000,2.254264e-03,9.092931e-06,9.450370e-08,8.145481e-05,1.441779e+00,2.689691e-02,2.620728e-01,1.250799e-02,3.116077e-03,6.863698e-02
1000,2.230821e-03,9.057999e-06,8.270822e-08,4.769324e-05,1.450197e+00,2.504099e-02,2.927463e-01,1.246604e-02,2.916150e-03,7.393727e-02
1000,2.205559e-03,9.180599e-06,6.801233e-08,3.467580e-05,1.462527e+00,2.328679e-02,3.272695e-01,1.245590e-02,2.734908e-03,7.539088e-02
1000,2.185370e-03,9.389174e-06,5.989290e-08,2.122736e-05,1.479637e+00,2.161207e-02,2.979821e-01,1.248392e-02,2.569871e-03,6.712632e-02
