alpha,loss_median,grad_Kp,grad_Ki,grad_Kd,update_Kp,update_Ki,update_Kd,rel_Kp,rel_Ki,rel_Kd
1000,2.638816e-03,1.948914e-05,1.948723e-07,1.826403e-04,5.252474e-01,2.470915e-01,6.032103e-01,4.996304e-03,2.378132e-02,4.648383e-01
1000,2.539623e-03,1.629909e-05,1.725989e-07,1.248157e-04,6.594110e-01,1.667178e-01,6.961985e-01,6.281758e-03,1.682838e-02,6.431831e-01
1000,2.476494e-03,1.298901e-05,5.919503e-07,3.800527e-05,7.501615e-01,1.313457e-01,5.897804e-01,7.136226e-03,1.496963e-02,4.445025e-01
1000,2.487612e-03,1.084916e-05,8.967531e-07,1.140995e-04,8.009824e-01,1.136288e-01,3.081165e-01,7.598573e-03,1.361091e-02,1.972582e-01
1000,2.516179e-03,1.015358e-05,1.045986e-06,1.582865e-04,8.432028e-01,1.033063e-01,2.349908e-01,7.970069e-03,1.241250e-02,1.569458e-01
1000,2.482960e-03,1.025161e-05,8.180120e-07,1.626409e-04,8.906822e-01,9.498660e-02,3.080730e-01,8.382664e-03,1.137617e-02,1.903824e-01
1000,2.428928e-03,1.097798e-05,6.227212e-07,6.878169e-05,9.511153e-01,8.695232e-02,3.753668e-01,8.907760e-03,1.047261e-02,2.170719e-01
1000,2.404015e-03,1.209029e-05,4.088565e-07,5.015911e-05,1.026883e+00,7.912465e-02,3.922511e-01,9.564988e-03,9.716968e-03,2.006707e-01
1000,2.400595e-03,1.304813e-05,2.914962e-07,6.556453e-05,1.112588e+00,7.178238e-02,3.061609e-01,1.030070e-02,9.134315e-03,1.496431e-01
1000,2.396793e-03,1.348863e-05,2.434784e-07,7.748639e-05,1.198995e+00,6.523886e-02,2.505815e-01,1.102694e-02,8.491596e-03,1.070361e-01
1000,2.380728e-03,1.332219e-05,2.241969e-07,9.007725e-05,1.277045e+00,5.975576e-02,2.640100e-01,1.165989e-02,7.840440e-03,1.036448e-01
1000,2.352628e-03,1.265156e-05,2.829102e-07,7.407297e-05,1.340199e+00,5.551232e-02,3.071359e-01,1.214173e-02,7.337900e-03,1.143030e-01
1000,2.320592e-03,1.169156e-05,3.944024e-07,4.764236e-05,1.385586e+00,5.258627e-02,3.428248e-01,1.245025e-02,6.999724e-03,1.173934e-01
1000,2.294589e-03,1.070062e-05,4.982617e-07,2.308247e-05,1.414269e+00,5.091031e-02,3.212631e-01,1.259978e-02,6.821724e-03,1.007749e-01
1000,2.279447e-03,9.899804e-06,5.394422e-07,3.945580e-05,1.430481e+00,5.019295e-02,2.850663e-01,1.263257e-02,6.768491e-03,8.269325e-02
1000,2.270017e-03,9.389067e-06,5.034937e-07,7.063144e-05,1.439749e+00,4.991099e-02,2.653823e-01,1.260080e-02,6.771575e-03,7.206615e-02
1000,2.255650e-03,9.139891e-06,4.838228e-07,8.007057e-05,1.446879e+00,4.951328e-02,2.596268e-01,1.254838e-02,6.756773e-03,6.830729e-02
1000,2.232627e-03,9.089900e-06,4.600007e-07,4.879982e-05,1.455320e+00,4.865946e-02,2.868002e-01,1.250577e-02,6.677163e-03,7.316758e-02
1000,2.207407e-03,9.195104e-06,4.067049e-07,3.527400e-05,1.467395e+00,4.726866e-02,3.227577e-01,1.249259e-02,6.517212e-03,7.493270e-02
1000,2.186859e-03,9.388774e-06,3.225133e-07,2.373020e-05,1.484044e+00,4.544455e-02,2.992362e-01,1.251586e-02,6.300704e-03,6.745501e-02
