alpha,loss_median,grad_Kp,grad_Ki,grad_Kd,update_Kp,update_Ki,update_Kd,rel_Kp,rel_Ki,rel_Kd
1000,2.639830e-03,1.962446e-05,1.341503e-08,1.858903e-04,5.287191e-01,2.463907e-01,6.135262e-01,5.029397e-03,2.365472e-02,4.706529e-01
1000,2.537129e-03,1.633990e-05,5.753203e-09,1.273088e-04,6.634061e-01,1.649943e-01,7.090067e-01,6.319701e-03,1.622989e-02,6.556826e-01
1000,2.471898e-03,1.292346e-05,2.090249e-09,3.821335e-05,7.520517e-01,1.275108e-01,6.001213e-01,7.153841e-03,1.276808e-02,4.458396e-01
1000,2.484482e-03,1.072257e-05,6.730938e-09,1.179276e-04,8.001517e-01,1.044262e-01,3.096953e-01,7.590133e-03,1.060018e-02,1.976971e-01
1000,2.514810e-03,1.002497e-05,9.151801e-09,1.706471e-04,8.401895e-01,8.827443e-02,2.395847e-01,7.940985e-03,9.056287e-03,1.573157e-01
1000,2.479560e-03,1.014653e-05,7.894080e-09,1.623056e-04,8.863181e-01,7.606560e-02,3.122712e-01,8.341119e-03,7.875360e-03,1.752828e-01
1000,2.424330e-03,1.092539e-05,4.050210e-09,6.730887e-05,9.464751e-01,6.641765e-02,3.786617e-01,8.864134e-03,6.930166e-03,2.322837e-01
1000,2.400393e-03,1.209370e-05,2.416971e-09,5.058036e-05,1.022858e+00,5.852750e-02,3.917784e-01,9.527761e-03,6.150136e-03,2.002242e-01
1000,2.398184e-03,1.308243e-05,2.161300e-09,6.014496e-05,1.109546e+00,5.192864e-02,3.043711e-01,1.027331e-02,5.493127e-03,1.487041e-01
1000,2.394778e-03,1.352350e-05,2.995035e-09,8.917227e-05,1.196813e+00,4.632371e-02,2.506526e-01,1.100812e-02,4.930165e-03,1.070094e-01
1000,2.378299e-03,1.333444e-05,3.016899e-09,9.176689e-05,1.275274e+00,4.150643e-02,2.666343e-01,1.164543e-02,4.441749e-03,1.047396e-01
1000,2.349480e-03,1.262911e-05,2.381139e-09,7.400302e-05,1.338261e+00,3.730226e-02,3.123035e-01,1.212629e-02,4.013263e-03,1.162153e-01
1000,2.317047e-03,1.163471e-05,1.736699e-09,4.737648e-05,1.382961e+00,3.361639e-02,3.473301e-01,1.242914e-02,3.633976e-03,1.188522e-01
1000,2.291387e-03,1.062108e-05,2.024479e-09,2.104333e-05,1.410655e+00,3.036236e-02,3.202961e-01,1.257040e-02,3.296300e-03,1.002269e-01
1000,2.277125e-03,9.815243e-06,3.154301e-09,4.257702e-05,1.425872e+00,2.748854e-02,2.840746e-01,1.259507e-02,2.994481e-03,8.230144e-02
1000,2.268246e-03,9.313626e-06,4.027524e-09,7.396007e-05,1.434371e+00,2.492772e-02,2.609993e-01,1.255739e-02,2.723719e-03,7.203544e-02
1000,2.253531e-03,9.080482e-06,3.989677e-09,8.166815e-05,1.441066e+00,2.263215e-02,2.632533e-01,1.250211e-02,2.479971e-03,6.892127e-02
1000,2.229879e-03,9.051361e-06,3.000406e-09,4.722063e-05,1.449453e+00,2.056469e-02,2.942661e-01,1.246005e-02,2.259865e-03,7.438783e-02
1000,2.204599e-03,9.180491e-06,2.295912e-09,3.416627e-05,1.461859e+00,1.869702e-02,3.281098e-01,1.245072e-02,2.060631e-03,7.567795e-02
1000,2.184549e-03,9.394375e-06,2.049200e-09,2.095885e-05,1.479121e+00,1.700693e-02,2.975527e-01,1.248017e-02,1.880010e-03,6.711478e-02
