wall_time,episode_reward_mean
241.849967003,-45.5701105374
406.839092731,-44.2246377256
568.630034924,-35.8892932981
731.72173214,-31.7263168978
893.459194422,-25.2416646855
1055.09770036,-15.7620237948
1216.85112309,-4.66343071353
1379.09517336,10.4440555484
1541.08873653,16.3487876151
1702.76566863,27.963038284
1864.90625167,39.2076699671
2026.64090466,49.2745371765
2188.39691186,57.3805893977
2350.23258328,71.4670280899
2511.950315,80.6788504216
2673.51301742,86.4786327212
2835.17287493,95.3150553955
2996.70169973,97.8907617741
3158.41600204,101.539849672
3320.46250916,97.7110700077
3482.68669891,100.988624359
3623.88861221,91.3634693385
3643.83663511,109.556193853
3785.4539786,99.5499724313
3805.46104717,107.007139792
3947.0506855,100.235000346
3967.05418921,107.507522911
4108.81574565,107.970554279
4128.84077215,107.979761595
4270.31177035,87.6696207188
4290.30247831,109.808764571
4431.83531782,112.290550824
4451.82943368,109.609656707
4593.10150185,125.140618721
4613.06194115,112.161190153
4754.43269479,118.748381231
4774.40463305,110.205814905
4915.88864505,119.657364253
4935.87893748,115.349393058
5078.1976749,116.244722188
5098.22409821,113.096443213
5239.85373929,112.503970128
5259.86668825,118.423583059
5401.52007037,120.213602421
5421.53066611,116.941734661
5563.1397258,102.164095582
5583.14980745,115.780453252
5724.60287964,101.939001073
5744.59062195,118.324370027
5886.35028091,110.474129663
5906.37719727,120.727359475
6048.10494658,138.738553669
6068.12733221,117.835023258
