wall_time,episode_reward_mean
45.0053203106,-52.2036663566
50.6324400902,-52.2874406463
56.0129346848,-28.5127100536
61.3203585148,-44.0166276774
66.6608455181,-50.4139578583
71.9231722355,-39.8826990614
77.251663208,-60.4061232999
82.5826015472,-33.8137062122
87.9893534184,-68.7235572161
93.3154547215,-18.6483083063
98.6719431877,2.12098134857
104.041500568,-53.7769733506
109.449761629,-54.4753935958
114.824961662,-54.4693841413
120.108353376,-35.4947983206
125.453974247,-53.3066162536
130.836042881,-72.0641486023
136.160838366,-71.3622028802
141.480446339,-42.2894733874
146.891844034,-43.1759363182
152.147201061,-57.5943143884
157.458275795,-21.1479546689
162.764440298,-50.0792486038
168.063279867,-48.8376483437
173.423535109,-58.4244470644
178.747040272,-52.9995565672
184.039367676,-36.3374929144
189.328840494,-48.8298638256
194.590541124,-66.0910497999
199.888586283,-50.8189796059
205.245419741,-35.8706545303
210.521227598,-34.4375389006
215.885316133,-44.7760264163
221.149365664,-49.5375759249
226.505391121,-48.0146710675
231.7897048,-60.3806123756
237.257695198,-43.6810950443
242.625938654,-35.1378992142
247.903692245,-26.2424729895
253.184197187,-61.9288627614
258.499114513,-51.4783949777
263.799687147,-45.8824155109
269.110002995,-60.153938217
274.498858452,-58.409039712
279.804112196,-31.0089587365
285.097674847,-51.121034223
290.385697365,-49.1024133486
295.731099129,-41.8955962929
300.998526573,-36.076676185
306.360772848,-63.8604574601
311.591468096,-55.790883916
317.015347481,-48.4015652826
322.324654579,-38.5471534395
327.680841208,-38.2498219695
332.990148067,-29.8540625336
338.30734849,-36.5196370905
343.561902285,-36.9915914463
348.852297306,-37.9505208989
354.177769184,-51.6438907093
359.522172213,-41.4084636972
368.927925348,-29.7568266465
374.275619745,-44.5446239591
379.597709417,-42.1264072117
384.976454258,-44.2636360777
390.339088917,-55.5006714425
395.730144739,-45.9358613759
401.072825909,-33.2212430957
406.417392254,-3.66781827554
411.704977036,-42.0768203003
417.105009556,-52.7057968916
422.41714263,-21.3205838102
427.795786142,-41.9755986937
433.094758511,-53.0166132144
438.469858885,-39.5762018923
443.858601332,-59.7141406474
449.257188082,-57.9025637422
454.661190748,-50.2406342335
459.960137606,-64.3478477388
465.357445955,-55.2262167858
470.662186861,-61.8293402899
476.021064997,-39.7981850856
481.289434433,-15.112668791
486.647932529,-53.8261453807
491.904016256,-64.5862938372
497.261561632,-41.8427331254
502.562847614,-36.2732546564
507.901250839,-62.8069819159
513.226088524,-30.5822224592
518.566654921,-51.5277906676
523.859367847,-54.1778019151
529.18158412,-58.1932326498
534.509653807,-52.8391988301
539.797464848,-47.078515093
545.146398783,-37.3337962141
550.429603815,-15.5216512848
555.837990522,-58.9183396178
561.248816013,-41.3608426059
566.622007847,-56.4865957193
571.871635914,-39.3389181246
577.215681791,-43.7281736269
582.557397366,-42.2398537573
587.941316843,-43.0462528458
593.214020729,-54.1288593383
598.58609271,-46.5727309591
603.89003253,-30.3639089611
609.19397378,-56.261972042
614.514480352,-45.5948694595
619.821017027,-38.4159700833
625.210588217,-69.1027721376
630.511194229,-57.2420581683
635.912451744,-42.0305197487
641.169784546,-12.2796046308
646.613127708,-19.7947567389
651.960202456,-59.5082175085
657.401246548,-15.6582842635
662.676205635,-46.6756115262
668.06403327,-48.2190737371
673.35023284,-53.4625835569
678.652269125,-39.9138215761
684.100400686,-51.905495847
690.033072472,-49.2684606291
695.357355595,-23.69493916
700.65638566,-39.6336973494
705.9993155,-48.5035142021
711.28776741,-68.4827113468
716.765851498,-58.2400777353
722.03488183,-25.95170764
727.398759842,-67.64154068
732.672190189,-39.5797675918
737.989225864,-40.2436178181
743.308997631,-26.720633382
748.654127598,-38.3795835033
753.925264359,-36.4148964216
759.258876562,-47.780042323
764.654094934,-17.5128370378
769.916085482,-49.149983597
775.304804564,-64.2733852755
780.616465569,-19.4023760203
785.984300375,-42.3960424067
791.292482376,-56.41450448
796.694264174,-26.1984559274
801.96037817,-57.1801539683
807.42554903,-52.4060331246
812.712424755,-36.6002309626
818.080353737,-44.3334009439
823.372713089,-55.4250327796
828.746135712,-44.2737282342
834.117423773,-47.6066799037
839.484303236,-50.446330052
844.836756706,-63.9560780892
850.150027037,-43.6370864437
855.526355505,-44.292338637
860.841189384,-43.5677963499
866.184704542,5.63970566244
871.47559166,-36.7482544886
876.821223021,-71.1117956654
882.092413902,-48.0784982851
887.570360184,-36.6179774359
892.905706644,-19.3497753334
898.252895117,-42.3995780906
903.557338238,-27.7229743123
908.905288935,-65.1660794294
914.235419989,-38.4846088035
919.5713377,-53.042853533
924.953677893,-52.012943468
930.219724894,-37.2948391725
935.513469696,-32.028882824
940.795361757,-40.0067489096
946.202117443,-32.0538273029
951.49550271,-44.9731051847
956.891911983,-46.9503362703
962.167503357,-36.3379985124
967.519043207,-38.6505437394
972.821519375,-37.8326819816
978.147312164,-55.1027070218
983.519140959,-52.719671302
988.934579849,-37.0424752466
994.253116131,-45.0278578725
999.588316917,-31.6925484645
1004.97735929,-46.0007063936
1010.25497699,-45.3224715093
1016.301548,-34.7656705805
1021.58468127,-26.1476796192
1026.94456577,-27.4469490168
1032.20618916,-27.6757522698
1037.56986618,-38.7977619592
1042.92271495,-45.6888829709
1048.31863856,-42.5936579198
1053.67993045,-37.6853037441
1058.95981359,-34.6540429724
1064.24813747,-23.6268814999
1069.60220718,-25.574417054
1074.94641089,-29.4647405186
1080.29554081,-27.0888016484
1085.72683835,-33.6047147427
1091.01745462,-29.2074789786
1096.39552331,-42.4588020047
1101.69368362,-26.4266354092
1107.02120376,-46.4187146913
1112.29011059,-20.4612234153
1117.7010231,-15.38784029
1123.05333757,-26.4039170693
1128.40298009,-17.447401534
1133.67624784,-19.7192301009
1138.99012303,-37.0369180915
1144.34036946,-24.4230558801
1149.64809918,-32.316189698
1155.00974035,-39.0407314781
1160.32049513,-7.18220022665
1165.63627434,-41.0671204217
1171.00611567,-28.2551212315
1176.42796516,-42.2877769682
1181.69219017,-12.5464362816
1187.01466894,-44.4792797311
1192.28223157,-25.7618973817
1197.62644911,-39.9193929032
1202.89501619,-31.0771954726
1208.2560668,-42.4729577279
1213.56006026,-16.4715092126
1218.8464179,-29.9818535017
1224.16247892,-32.69167719
1229.47195888,-20.7748017256
1234.80282378,-23.300265446
1240.12139726,-35.9041371006
1245.44257355,-25.9809444254
1250.7110374,-26.4592449125
1256.05138016,-37.7167960852
1261.29807973,-19.7796995094
1266.6721096,-32.7898424368
1271.92729354,-25.5002378709
1277.28492856,-34.7067460018
1282.62593508,-31.6022602247
1288.00697637,-30.4835804566
1293.30851579,-38.7637099206
1298.72275114,-18.4460087837
1304.12087488,-63.4339604906
1309.46576738,-53.5723266369
1314.74899459,-38.7475671572
1320.03011775,-41.3215511744
1325.38430715,-31.1748973625
1330.69871712,-25.4207260966
1336.65086198,-23.5273112024
1341.91321921,-23.4768524183
1347.33077502,-21.4553097269
1352.59807348,-40.2161113366
1357.97854757,-47.9167837404
1363.26817322,-4.07600585846
1368.57902837,-28.9580570124
1373.85570884,-32.9178612548
1379.21376586,-41.3865661319
1384.5511775,-48.2562697967
1389.85143089,4.61762135295
1395.16403842,-36.6777294173
1400.51558709,-64.4382599826
1405.89897323,-55.2246520777
1411.21285248,-30.4177958189
1416.63835859,-24.0204515693
1421.89721322,-24.5724800083
1427.24587417,-24.519772763
1432.53040791,-14.598303918
1437.91048455,-26.4775237981
1443.16981888,-40.7489753453
1448.61048055,-8.24595387568
1453.98710513,-23.9601197183
1459.31951523,-38.3089991701
1464.65527439,-22.8625507333
1469.96605325,-34.3029586948
1475.31975961,-38.5830438369
1480.65932608,-28.521739948
1486.02327967,-19.6017585672
1491.29041719,-25.4260358846
1496.68667769,-26.0000052623
1501.93854713,-47.4831365003
1507.33988476,-31.6967138119
1512.62829494,-27.5568932319
1517.9564333,-31.2903733943
1523.31567168,-43.1427159573
1528.7003839,-36.0463570723
1534.05884361,-35.1549566744
1539.36980009,-38.5453643558
1544.67773652,-39.9226756534
1549.95077014,-20.1843243265
1555.29453397,-10.8261473939
1560.55500221,-14.2362410463
1565.90377736,-21.7853100912
1571.14019871,-44.041813891
1576.48485041,-30.1640716959
1581.73509002,-35.6112581848
